"salary","age","college","grad","comten","ceoten","profits"
358000,64,1,0,43,11,45000000
1276000,64,1,0,41,17,52000000
873000,41,1,1,2,2,21000000
537000,57,1,1,35,1,210000000
713000,57,1,1,12,2,55000000
1350000,68,1,1,5,5,92000000
1268000,47,1,0,20,4,47000000
465000,64,1,1,31,3,326000000
693000,46,1,1,7,3,44000000
369000,49,1,1,4,1,-132000000
381000,54,1,0,30,2,386000000
467000,49,1,1,13,0,49000000
559000,57,1,1,34,16,56000000
218000,57,1,1,33,5,41000000
264000,63,1,0,42,3,43000000
185000,58,1,0,39,1,49000000
387000,71,1,1,32,13,28000000
2220000,63,1,1,18,18,-80000000
445000,69,1,0,23,0,31000000
