address,postcode,price,area,num_rooms,lon,lat,price_per_sqm,four_digit_postcode
"Groetstraat 201, Amsterdam",1024 VE,300000.0,78,4,4.951093,52.393956,3846.153846153846,1024
"Jan Haringstraat 32 I, Amsterdam",1056 XJ,375000.0,52,4,4.86106,52.376873,7211.538461538462,1056
"Crynssenstraat 74 2, Amsterdam",1058 XZ,400000.0,51,2,4.85633,52.36355,7843.137254901961,1058
"Churchill-laan 254 3, Amsterdam",1078 EZ,850000.0,117,5,4.889851,52.347518,7264.957264957265,1078
"Overtoom 502 I, Amsterdam",1054 KJ,550000.0,72,3,4.859628,52.359026,7638.888888888889,1054
"Wieringerwaardstraat 226, Amsterdam",1024 HM,275000.0,56,2,4.959199,52.395846,4910.714285714285,1024
"Wiltzanghlaan 31 I, Amsterdam",1055 KE,330000.0,54,3,4.848563,52.381715,6111.111111111111,1055
"Faas Wilkesstraat 321 PP, Amsterdam",1095 MD,700000.0,102,3,4.969203,52.372762,6862.745098039216,1095
"Fahrenheitsingel 17, Amsterdam",1097 NR,500000.0,72,2,4.922788,52.342942,6944.444444444444,1097
"Bankastraat 39 D, Amsterdam",1094 EB,369000.0,47,3,4.933378,52.364949,7851.063829787234,1094
"Toutenburgstraat 75, Amsterdam",1107 PW,245000.0,68,3,4.9688878,52.2923239,3602.9411764705883,1107
"Vegastraat 97, Amsterdam",1033 HR,350000.0,65,4,4.885364,52.412066,5384.615384615385,1033
"Hofwijckstraat 22 III, Amsterdam",1055 GG,425000.0,69,3,4.850643,52.379711,6159.420289855072,1055
"Sam van Houtenstraat 191 C, Amsterdam",1067 JG,375000.0,94,4,4.800745,52.379133,3989.3617021276596,1067
"Het Hoogt 180, Amsterdam",1025 HE,335000.0,92,4,4.936896,52.394478,3641.304347826087,1025
"Van Hilligaertstraat 32 C, Amsterdam",1072 KA,450000.0,56,3,4.888332,52.349498,8035.714285714285,1072
"Wethouder Wierdelsstraat 6, Amsterdam",1107 DK,395000.0,101,5,4.993551,52.292948,3910.891089108911,1107
"Van Houweningenstraat 66 2, Amsterdam",1052 TR,300000.0,45,2,4.87065,52.37314,6666.666666666667,1052
"Ternatestraat 174, Amsterdam",1095 RZ,450000.0,84,3,4.944032,52.365457,5357.142857142857,1095
"Hudsonstraat 55 hs, Amsterdam",1057 RX,415000.0,51,2,4.853803,52.366082,8137.254901960784,1057
"Maarten Jansz. Kosterstraat 10, Amsterdam",1017 VX,650000.0,67,4,4.901713,52.360545,9701.492537313432,1017
"Spaarndammerplantsoen 20, Amsterdam",1013 XT,425000.0,52,2,4.876149,52.390376,8173.076923076923,1013
"Driehoekstraat 72, Amsterdam",1015 GL,469000.0,67,2,4.882743,52.382746,7000.0,1015
"Admiraliteitstraat 48, Amsterdam",1018 KP,485000.0,73,4,4.924634,52.368555,6643.835616438356,1018
"Willem de Zwijgerlaan 334 E15, Amsterdam",1055 RD,225000.0,32,1,4.860857,52.380834,7031.25,1055
"De Wittenkade 23 2V, Amsterdam",1052 AA,285000.0,29,2,4.880046,52.384661,9827.586206896553,1052
"Keizersgracht 343 F, Amsterdam",1016 EH,995000.0,97,2,4.884982,52.369202,10257.731958762886,1016
"Geschutswerf 81, Amsterdam",1018 AW,1475000.0,220,5,4.920481,52.366984,6704.545454545455,1018
"Bilderdijkkade 22 IV, Amsterdam",1053 VC,475000.0,60,3,4.868057,52.370073,7916.666666666667,1053
"Jan Mankesstraat 13 hs, Amsterdam",1061 SR,475000.0,124,5,4.837522,52.364821,3830.6451612903224,1061
"Sassenheimstraat 30 1, Amsterdam",1059 BH,395000.0,56,2,4.848779,52.348138,7053.571428571428,1059
"Oudezijds Voorburgwal 161 E, Amsterdam",1012 ET,375000.0,47,2,4.896579,52.372127,7978.723404255319,1012
"Amstelveenseweg 186 4A, Amsterdam",1075 XR,400000.0,37,2,4.855832,52.352385,10810.81081081081,1075
"Nova Zemblastraat 544, Amsterdam",1013 RP,325000.0,42,2,4.879081,52.390874,7738.0952380952385,1013
"Achillesstraat 113 2, Amsterdam",1076 RA,400000.0,53,3,4.864958,52.343986,7547.169811320755,1076
"Parnassusweg 151, Amsterdam",1077 DE,475000.0,80,3,4.868693,52.343328,5937.5,1077
"Lamarckhof 11 I, Amsterdam",1098 TK,425000.0,68,3,4.944251,52.352317,6250.0,1098
"Cornelis van Vollenhovenstraat 4 B, Amsterdam",1063 KS,375000.0,101,3,4.819711,52.379837,3712.871287128713,1063
"Van Boetzelaerstraat 73 II, Amsterdam",1051 EA,365000.0,47,2,4.871178,52.382031,7765.95744680851,1051
"Pretoriusstraat 11 II, Amsterdam",1092 EW,500000.0,67,3,4.926673,52.356043,7462.686567164179,1092
"Wittgensteinlaan 137, Amsterdam",1062 KC,450000.0,92,3,4.835487,52.353658,4891.304347826087,1062
"Prinsengracht 201 E, Amsterdam",1015 DT,725000.0,95,3,4.886006,52.377377,7631.578947368421,1015
"Westeinde 16, Amsterdam",1017 ZP,4550000.0,497,13,4.89862,52.358798,9154.929577464789,1017
"Groenhoven 453, Amsterdam",1103 LN,225000.0,52,2,4.976804,52.325544,4326.923076923077,1103
"Reinier Claeszenstraat 74 3, Amsterdam",1056 WR,375000.0,55,3,4.862201,52.373597,6818.181818181818,1056
"Waterkeringweg 49, Amsterdam",1051 NX,495000.0,74,3,4.867549,52.384604,6689.189189189189,1051
"Lange Leidsedwarsstraat 95 C, Amsterdam",1017 NH,475000.0,58,3,4.885902,52.363158,8189.6551724137935,1017
"Lange Leidsedwarsstraat 32 B, Amsterdam",1017 NL,450000.0,53,2,4.882472,52.365273,8490.566037735849,1017
"Vrijheidslaan 14 I, Amsterdam",1078 PJ,475000.0,66,3,4.910224,52.347296,7196.969696969697,1078
"Heemstedestraat 10 I, Amsterdam",1058 NM,475000.0,62,3,4.848941,52.351734,7661.290322580645,1058
"Veldzicht 85, Amsterdam",1068 SM,345000.0,61,3,4.798199,52.362969,5655.737704918033,1068
"Rijswijkstraat 69, Amsterdam",1062 ER,369000.0,78,3,4.841525,52.35007,4730.7692307692305,1062
"Steenderenstraat 74, Amsterdam",1107 LD,320000.0,91,4,4.983191,52.294198,3516.4835164835163,1107
"Sijsjesstraat 12, Amsterdam",1021 CW,465000.0,66,3,4.917899,52.386198,7045.454545454545,1021
"Oudezijds Voorburgwal 93 B, Amsterdam",1012 EL,340000.0,35,2,4.898311,52.373509,9714.285714285714,1012
"Mijehof 285, Amsterdam",1106 HH,375000.0,111,5,4.970987,52.301346,3378.3783783783783,1106
"Blasiusstraat 63 2, Amsterdam",1091 CL,595000.0,93,3,4.910003,52.356903,6397.8494623655915,1091
"Dirk Vreekenstraat 72, Amsterdam",1019 GD,525000.0,92,3,4.936101,52.371484,5706.521739130435,1019
"Langswater 278, Amsterdam",1069 EC,245000.0,61,3,4.789682,52.355404,4016.3934426229507,1069
"Jisperveldstraat 371, Amsterdam",1024 AS,275000.0,85,4,4.95037,52.399252,3235.294117647059,1024
"Funenpark 316, Amsterdam",1018 AK,575000.0,72,2,4.931839,52.369014,7986.111111111111,1018
"Tielstraat 53, Amsterdam",1107 RA,250000.0,70,3,4.968806,52.291803,3571.4285714285716,1107
"Panamakade 66, Amsterdam",1019 AX,975000.0,165,5,4.946186,52.373257,5909.090909090909,1019
"Van Oldenbarneveldtstraat 22 II, Amsterdam",1052 KB,375000.0,52,2,4.875248,52.376809,7211.538461538462,1052
"Amstelvlietstraat 193, Amsterdam",1096 GG,1100000.0,159,5,4.919919,52.338283,6918.238993710692,1096
"Haparandaweg 750, Amsterdam",1013 BD,750000.0,102,3,4.877406,52.394832,7352.941176470588,1013
"Prins Hendrikkade 510 K, Amsterdam",1011 TE,439000.0,55,3,4.90487,52.374978,7981.818181818182,1011
"Afrikanerplein 118, Amsterdam",1091 PW,375000.0,57,2,4.91638,52.352165,6578.9473684210525,1091
"Anne Frankstraat 224, Amsterdam",1011 MP,445000.0,66,3,4.909207,52.369475,6742.424242424242,1011
"Alkmaarstraat 277, Amsterdam",1024 TR,325000.0,77,4,4.947655,52.395417,4220.779220779221,1024
"Geuzenkade 46 H, Amsterdam",1056 KM,415000.0,57,2,4.865612,52.373199,7280.701754385965,1056
"Borgerstraat 29 D, Amsterdam",1053 PA,300000.0,43,2,4.868786,52.365466,6976.7441860465115,1053
"Prinsenstraat 4, Amsterdam",1015 DC,915000.0,88,5,4.887412,52.377742,10397.727272727272,1015
"Schotse Hooglanden 4, Amsterdam",1060 NM,685000.0,183,6,4.7717,52.35337,3743.1693989071036,1060
"Van Spilbergenstraat 69 II, Amsterdam",1057 PZ,350000.0,50,3,4.85167,52.366405,7000.0,1057
"Cliostraat 23 HS, Amsterdam",1077 KB,1025000.0,135,4,4.875881,52.347368,7592.592592592592,1077
"Windroosplein 96, Amsterdam",1018 ZW,895000.0,177,4,4.924895,52.373122,5056.497175141243,1018
"Nachtwachtlaan 345, Amsterdam",1058 EM,350000.0,59,2,4.84399,52.362946,5932.203389830508,1058
"Antony Moddermanstraat 178, Amsterdam",1063 LW,265000.0,65,3,4.81787,52.383684,4076.923076923077,1063
"Wevelgemstraat 8, Amsterdam",1066 TM,500000.0,100,4,4.802122,52.346011,5000.0,1066
"Reigersbos 251, Amsterdam",1107 EX,295000.0,106,4,4.977496,52.295032,2783.0188679245284,1107
"Rubensstraat 26 2, Amsterdam",1077 MR,1175000.0,159,7,4.873365,52.349164,7389.937106918239,1077
"Herengracht 193 C, Amsterdam",1016 BE,995000.0,113,3,4.888199,52.374321,8805.309734513274,1016
"Jozef Israëlskade 30 B, Amsterdam",1072 RW,385000.0,54,2,4.889927,52.348587,7129.62962962963,1072
"Tollensstraat 321, Amsterdam",1053 RV,550000.0,89,4,4.870523,52.365141,6179.775280898876,1053
"Kinkerstraat 326 1, Amsterdam",1053 GD,325000.0,40,2,4.862992,52.365,8125.0,1053
"Hogevecht 47, Amsterdam",1102 HB,225000.0,62,2,4.957403,52.309773,3629.032258064516,1102
"Van Boshuizenstraat 135, Amsterdam",1083 AT,395000.0,66,3,4.885793,52.324797,5984.848484848485,1083
"J.G. Suurhoffstraat 123, Amsterdam",1067 VR,425000.0,102,4,4.789341,52.380775,4166.666666666667,1067
"Lijnbaansgracht 188 H, Amsterdam",1016 XA,525000.0,64,4,4.878779,52.368556,8203.125,1016
"Ank van der Moerstraat 29, Amsterdam",1065 LH,800000.0,132,6,4.824867,52.35227,6060.606060606061,1065
"Osdorpplein 57, Amsterdam",1068 EK,400000.0,88,4,4.80651,52.359451,4545.454545454545,1068
"Wieringerwaardstraat 221, Amsterdam",1024 HL,250000.0,50,2,4.959052,52.3958,5000.0,1024
"Van Boetzelaerstraat 40 H, Amsterdam",1051 CW,360000.0,41,2,4.873624,52.382635,8780.487804878048,1051
"Faas Wilkesstraat 275, Amsterdam",1095 MD,1050000.0,154,4,4.968819,52.373001,6818.181818181818,1095
"IJsselmeerstraat 52, Amsterdam",1024 ML,799000.0,230,8,4.961381,52.389087,3473.913043478261,1024
"Utrechtsedwarsstraat 4, Amsterdam",1017 WG,1700000.0,194,6,4.896542,52.360937,8762.886597938144,1017
"Neerkanne 7, Amsterdam",1082 BG,825000.0,178,7,4.870427,52.324201,4634.831460674157,1082
"Dirk Bonsstraat 18 I, Amsterdam",1063 TZ,290000.0,50,2,4.834901,52.378363,5800.0,1063
"Singel 32 G, Amsterdam",1015 AA,469000.0,50,3,4.893043,52.37844,9380.0,1015
"Amstel 186 HS, Amsterdam",1017 AG,625000.0,74,3,4.89965,52.366621,8445.945945945947,1017
"Nieuwe Prinsengracht 8 3, Amsterdam",1018 XH,1050000.0,149,8,4.904917,52.362949,7046.979865771812,1018
"Plejadenplein 1, Amsterdam",1033 VK,540000.0,79,4,4.88439,52.413734,6835.443037974684,1033
"Kikkenstein 3534, Amsterdam",1104 TT,285000.0,96,4,4.972596,52.317512,2968.75,1104
"Quashibastraat 42 C, Amsterdam",1087 VS,859000.0,168,3,5.016505,52.350556,5113.0952380952385,1087
"Het Breed 605, Amsterdam",1025 HW,275000.0,63,2,4.93924,52.396536,4365.079365079365,1025
"Tjeukemeerhof 14, Amsterdam",1060 PR,525000.0,153,6,4.778978,52.349265,3431.372549019608,1060
"Van Mourik Broekmanstraat 12 I, Amsterdam",1065 EX,375000.0,73,4,4.826759,52.356709,5136.986301369863,1065
"Vrijzicht 180, Amsterdam",1068 CK,399500.0,89,2,4.807068,52.362692,4488.76404494382,1068
"Oeverpad 482, Amsterdam",1068 PM,430000.0,103,4,4.807703,52.363646,4174.757281553398,1068
"Ouderkerkerdijk 34, Amsterdam",1096 CR,1300000.0,141,4,4.904363,52.333206,9219.85815602837,1096
"Leonard Bernsteinstraat 96 A, Amsterdam",1082 MR,1750000.0,130,3,4.872151,52.336348,13461.538461538461,1082
"Westerstraat 268, Amsterdam",1015 MT,950000.0,109,4,4.879612,52.377871,8715.59633027523,1015
"Nieuwezijds Voorburgwal 294 1, Amsterdam",1012 RT,1450000.0,150,3,4.88987,52.370706,9666.666666666666,1012
"Kleiburg 524, Amsterdam",1104 EA,285000.0,69,3,4.979002,52.318782,4130.434782608696,1104
"Willem Leevendstraat 1 1, Amsterdam",1055 KB,300000.0,54,2,4.846858,52.384197,5555.555555555556,1055
"Amstelveenseweg 970 C, Amsterdam",1081 JR,1500000.0,166,4,4.857216,52.325762,9036.144578313253,1081
"Henri Zagwijnstraat 14 3, Amsterdam",1077 XR,685000.0,107,4,4.868754,52.341846,6401.869158878505,1077
"Dam 5 V, Amsterdam",1012 JS,4495000.0,178,5,4.89429,52.373106,25252.808988764045,1012
"Zuideinde 356, Amsterdam",1035 PP,989000.0,171,5,4.893261,52.419532,5783.625730994152,1035
"'t Nopeind 2, Amsterdam",1027 AE,765000.0,100,4,4.964853,52.409986,7650.0,1027
"Hillenraadt 46, Amsterdam",1083 AJ,900000.0,159,9,4.886918,52.323885,5660.377358490566,1083
"Archimedesweg 56, Amsterdam",1098 JR,665000.0,118,4,4.938738,52.356081,5635.593220338983,1098
"Huidekoperstraat 24 F, Amsterdam",1017 ZM,2475000.0,183,4,4.897473,52.358943,13524.590163934427,1017
"Bos en Lommerweg 360, Amsterdam",1061 DJ,475000.0,98,4,4.83852,52.379072,4846.938775510204,1061
"Groetstraat 193, Amsterdam",1024 VE,300000.0,78,4,4.950977,52.393821,3846.153846153846,1024
"Catharina Boudewijnshof 51, Amsterdam",1064 PE,350000.0,103,4,4.809689,52.378,3398.0582524271845,1064
"Mauritsstraat 2, Amsterdam",1091 DA,450000.0,45,2,4.9064,52.358857,10000.0,1091
"Ringvaartdijk 80, Amsterdam",1066 DJ,600000.0,145,4,4.799931,52.334488,4137.931034482759,1066
"Joan Melchior Kemperstraat 46 IV, Amsterdam",1051 TS,350000.0,39,2,4.874462,52.38503,8974.358974358975,1051
"Nachtwachtlaan 164, Amsterdam",1058 EE,595000.0,100,3,4.84313,52.359998,5950.0,1058
"Borgerstraat 202 I, Amsterdam",1053 RD,335000.0,42,2,4.862224,52.364187,7976.190476190476,1053
"Gerrit van der Veenstraat 134, Amsterdam",1077 ES,1295000.0,154,4,4.867645,52.348806,8409.09090909091,1077
"Pieter de Hoochstraat 25 B, Amsterdam",1071 ED,825000.0,103,3,4.885645,52.35602,8009.708737864078,1071
"Keizersgracht 544, Amsterdam",1017 EL,5950000.0,394,10,4.887378,52.365078,15101.522842639593,1017
"Leerdamhof 177, Amsterdam",1108 BR,325000.0,85,4,4.976098,52.308383,3823.529411764706,1108
"Willem Heselaarsstraat 70, Amsterdam",1069 KA,450000.0,115,3,4.798695,52.352124,3913.0434782608695,1069
"Singel 463 F., Amsterdam",1012 WP,1450000.0,125,2,4.891701,52.367182,11600.0,1012
"Karel Klinkenbergstraat 1 A, Amsterdam",1061 AH,585000.0,99,3,4.835845,52.366451,5909.090909090909,1061
"Noordermarkt 32 A, Amsterdam",1015 MZ,1200000.0,105,4,4.886034,52.379546,11428.57142857143,1015
"Pieter Cornelisz. Hooftstraat 36 1 2 3, Amsterdam",1071 BZ,1550000.0,153,5,4.88242,52.360824,10130.718954248367,1071
"Westerdok 452, Amsterdam",1013 BH,1250000.0,147,4,4.891955,52.38514,8503.401360544218,1013
"Herengracht 12 C, Amsterdam",1015 BK,998000.0,121,2,4.891161,52.378843,8247.933884297521,1015
"Jan van Riebeekstraat 17 3, Amsterdam",1057 ZW,395000.0,54,3,4.857567,52.370557,7314.814814814815,1057
"Keizersgracht 515 R, Amsterdam",1017 DN,935000.0,85,3,4.8887,52.365003,11000.0,1017
"Nieuwe Keizersgracht 570 L, Amsterdam",1018 VG,1050000.0,63,3,4.90885,52.365524,16666.666666666668,1018
"Geldersekade 52 A, Amsterdam",1012 BJ,729000.0,110,5,4.90132,52.375059,6627.272727272727,1012
"Tenerifestraat 8, Amsterdam",1060 TH,699000.0,130,5,4.788762,52.344183,5376.923076923077,1060
"Parosstraat 6, Amsterdam",1060 LP,1500000.0,255,7,4.790343,52.345566,5882.35294117647,1060
"Diemerzeedijk 76 S, Amsterdam",1087 SM,400000.0,25,2,4.962333,52.362891,16000.0,1087
"Karel Doormanstraat 138, Amsterdam",1055 VJ,550000.0,102,4,4.858163,52.379474,5392.156862745098,1055
"Lijnbaansstraat 7, Amsterdam",1016 ST,950000.0,133,7,4.644819,52.37806,7142.857142857143,1016
"Frans van Mierisstraat 47 C, Amsterdam",1071 RK,975000.0,93,3,4.882903,52.354535,10483.870967741936,1071
"Nicolaas Anslijnstraat 116, Amsterdam",1068 WT,295000.0,79,3,4.807977,52.357443,3734.1772151898736,1068
"Jan van Duivenvoordestraat 10 II, Amsterdam",1067 XN,350000.0,71,4,4.803337,52.378625,4929.577464788732,1067
"Ouderkerkerdijk 42, Amsterdam",1096 CR,685000.0,110,4,4.901539,52.333097,6227.272727272727,1096
"Baarsjesweg 313 H, Amsterdam",1058 AH,1499000.0,245,8,4.854662,52.358204,6118.367346938776,1058
"Prinsengracht 416 A, Amsterdam",1016 JC,1275000.0,165,5,4.882122,52.366395,7727.272727272727,1016
"Lange Leidsedwarsstraat 103 1 A, Amsterdam",1017 NJ,375000.0,38,1,4.886109,52.363042,9868.421052631578,1017
"Herengracht 116 F+K, Amsterdam",1015 BT,1595000.0,199,6,4.888459,52.375994,8015.075376884422,1015
"Entrepotdok 85 A, Amsterdam",1018 AD,439000.0,48,2,4.917931,52.367418,9145.833333333334,1018
"Chasséstraat 21 III, Amsterdam",1057 HW,785000.0,95,5,4.861607,52.367915,8263.157894736842,1057
"Fazantenweg 15 1, Amsterdam",1021 HJ,395000.0,68,3,4.920126,52.388122,5808.823529411765,1021
"Droogbak 5 B, Amsterdam",1013 GE,595000.0,78,3,4.893924,52.379828,7628.205128205128,1013
"Nieuwe Uilenburgerstraat 9 F, Amsterdam",1011 LM,875000.0,117,3,4.906839,52.371272,7478.6324786324785,1011
"Beulingstraat 13 D, Amsterdam",1017 BA,295000.0,29,2,4.887596,52.367946,10172.413793103447,1017
"Kiefskamp 24, Amsterdam",1082 KA,520000.0,80,2,4.872336,52.33033,6500.0,1082
"Herculesstraat 60 B, Amsterdam",1076 SP,439000.0,57,3,4.862129,52.347398,7701.754385964912,1076
"Tweede Oosterparkstraat 188 2, Amsterdam",1092 BT,410000.0,66,4,4.920472,52.357987,6212.121212121212,1092
"Marnixstraat 237 E, Amsterdam",1015 WE,275000.0,23,1,4.877725,52.376041,11956.521739130434,1015
"Nieuwe Leliestraat 11, Amsterdam",1015 SH,2450000.0,259,8,4.883278,52.375756,9459.45945945946,1015
"Van Boetzelaerstraat 36 1, Amsterdam",1051 CW,350000.0,45,2,4.873726,52.382654,7777.777777777777,1051
"Weesperzijde 114 huis, Amsterdam",1091 EN,1795000.0,158,6,4.912109,52.350755,11360.759493670887,1091
"Brouwersgracht 187 G, Amsterdam",1015 GJ,835000.0,120,5,4.88447,52.382635,6958.333333333333,1015
"Wijdesteeg 62, Amsterdam",1012 RN,985000.0,111,5,4.890089,52.371683,8873.873873873874,1012
"Van der Hoopstraat 33 A2, Amsterdam",1051 VB,425000.0,56,2,4.943696,52.338795,7589.285714285715,1051
"Prins Hendrikkade 156 2, Amsterdam",1011 AW,635000.0,58,3,4.907085,52.372907,10948.275862068966,1011
"Willem Frederik Hermansstraat 169 PP, Amsterdam",1011 DG,999500.0,151,3,4.907627,52.376281,6619.205298013245,1011
"Stadhouderskade 16 H, Amsterdam",1054 ES,1050000.0,151,4,4.880571,52.362038,6953.64238410596,1054
"Langswater 198, Amsterdam",1069 TS,225000.0,60,3,4.790457,52.35459,3750.0,1069
"Cliostraat 35 1, Amsterdam",1077 KC,1099000.0,165,5,4.875455,52.347348,6660.606060606061,1077
"Pieter de Hoochstraat 25 B +PP, Amsterdam",1071 ED,895000.0,103,3,4.885645,52.35602,8689.320388349515,1071
"Uilengouw 2, Amsterdam",1027 EZ,899000.0,258,1,4.967897,52.410672,3484.4961240310076,1027
