"clothing_exp","hh_inc","num_kids","hh_size"
2.63,30.73,1,4
3.16,35.74,1,3
2.64,30.48,0,1
1.49,17.9,0,2
2.26,26.41,1,3
3.02,35.87,0,2
5.04,62.62,2,4
2.75,33.82,2,4
2.12,25.45,0,2
2.26,26.14,1,3
3.36,40.93,2,3
4.55,54.54,1,3
1.42,18.25,0,2
2.96,35.69,2,4
2.22,28.03,0,1
2.06,26.27,0,2
2.72,32.75,2,4
3.2,36.73,2,4
1.39,16.87,3,5
2.35,25.88,1,2
2.34,28.29,1,2
2.13,25.62,0,2
2.66,31.42,0,3
3.21,40.17,1,3
1.48,18.24,0,1
4.57,54.64,0,2
1.55,18.3,0,1
2.88,35.14,0,1
2.19,26.76,0,1
2.7,33.37,0,2
1.28,15.02,0,2
2.19,27.48,0,1
1.22,15.55,2,4
1.13,13.61,0,2
2.43,29.79,1,3
1.3,16.5,0,2
2.2,27.21,0,2
1.02,12.96,0,2
3.44,40.88,2,5
1.74,21.76,0,1
2.35,26.82,0,1
3.18,38.24,0,2
2.92,34.26,2,4
2.01,25.2,3,5
2.86,32.77,0,1
1.85,21.64,0,1
2.89,35.76,0,2
1.55,17.94,0,2
1.11,12.52,0,2
1.77,21.43,2,4
5.12,62.63,5,7
3.33,40.95,2,4
2.05,25.68,0,1
3.6,46.71,0,2
1.83,20.85,0,2
1.88,22.86,4,6
1.11,14.66,0,1
3.22,39.17,1,2
3.77,42.47,0,2
1.51,17.68,0,1
2.1,23.97,2,4
1.67,21.13,0,1
2.47,30.46,0,2
1.37,16.92,0,2
1.52,19.39,2,4
1.31,16.34,0,2
2.07,25.21,1,3
2.98,34.72,2,4
3.19,36.82,3,5
1.52,19.18,2,4
2.05,24.96,2,4
1.08,12.82,0,1
1.88,22.94,3,5
2.47,27.71,4,6
2.35,27.03,3,5
