date,nodur,durbl,manuf,enrgy,hitec,telcm,shops,hlth,utils,other,mkt,smb,hml,rf
200405,-1.89,-1.65,1.64,0.58,4.82,-2.95,0.3,-0.41,1.25,1.73,1.23,-0.2,-0.25,0.06
200406,1.66,5.02,5.33,5.44,2.67,0.82,0.04,-0.5,2.03,1.32,1.94,2.26,1.18,0.08
200407,-5.98,-4.64,-4.05,3.32,-8.51,-1.02,-4.03,-5.92,1.06,-2.35,-3.96,-3.81,3.24,0.1
200408,0.77,-2.23,1.34,-1.39,-4.51,1.17,-1.2,1.64,3.66,1.88,0.19,-1.48,0.97,0.11
200409,-2,2.3,1.92,8.84,3.47,1.41,2.61,-1.4,1.38,1.11,1.71,3.01,0,0.11
200410,2.83,-3,-1.43,0.64,5.15,3.46,3.06,-2.44,4.24,1.1,1.54,0.15,-0.22,0.11
200411,4.6,7.27,7.22,6.57,5.76,3.61,3.67,0.68,4.89,4.72,4.69,3.74,1.41,0.15
200412,4.79,4.88,2.51,-2.31,3.1,4.29,3.5,5.66,2.49,4.43,3.59,-0.03,-0.22,0.16
200501,0.21,-7.02,-1.76,3.03,-6.35,-4.21,-1.07,-4.08,1.76,-2.18,-2.6,-1.72,2.06,0.16
200502,0.72,-0.25,4.1,19.41,0.04,-0.3,0.83,2.44,2.36,0.15,2.05,-0.57,1.54,0.16
200503,-0.85,-8,-1.43,-3.44,-2.53,-0.18,0.04,-0.47,0.61,-2.37,-1.76,-1.4,2.04,0.21
200504,-0.95,-11.09,-4.68,-5.6,-4.47,-2,-5.29,3.95,2.13,-1.6,-2.4,-3.94,0.07,0.21
200505,2.34,8.84,2.91,2.07,8.2,1.54,6.43,1.48,1.66,3.24,3.89,2.89,-0.64,0.24
200506,-1.68,2.1,-1.16,5.76,-1.64,0.14,2.43,-0.59,5.56,1.42,0.8,2.58,2.83,0.23
200507,2.61,5.41,5.83,6.14,6.16,3.09,5.82,3.72,2.98,2.42,4.16,2.91,-0.79,0.24
200508,0.01,-2.87,-1.36,5.7,-0.36,-1.25,-5.62,-0.31,1.25,-1.68,-0.92,-0.97,1.32,0.3
200509,0.13,-5.15,0.84,7.26,0.65,-1.47,-1.8,-1.92,4.38,1.28,0.78,-0.65,0.71,0.29
200510,-1.92,-4.38,-2.48,-10.16,-1.78,-2.98,1.56,-3.27,-6.85,1.36,-1.75,-1.25,0.42,0.27
200511,1.16,2.22,5.33,1.01,6.47,2.63,3.96,1.58,-0.22,4.93,3.92,0.99,-1.16,0.31
200512,0.23,-0.64,1.44,0.49,-1.91,-1.66,-0.59,2.39,1.24,0.12,0.07,-0.42,0.2,0.32
200601,0.11,5.85,5.18,12.54,4.08,3.82,2.01,2.17,3.03,1.59,3.39,5.39,1.08,0.35
200602,1.27,-0.45,1.03,-8.14,-0.99,3.33,1.41,1.07,0.22,0.97,0.04,-0.38,-0.34,0.34
200603,1.33,2.75,3.04,4,2.86,1.82,2.43,-0.96,-3.64,1.86,1.83,3.44,0.6,0.37
200604,1.17,0.34,4.06,4.67,-1.15,1.68,-1.58,-1.96,1.85,2.13,1.09,-1.42,2.34,0.36
200605,1.68,0.68,-3.37,-3.46,-6.9,-0.22,-1.88,-2.18,1.5,-3.25,-3.14,-2.96,2.41,0.43
200606,0.3,1.77,-0.49,2.73,-1.44,2.96,0.29,-0.12,2.41,-0.37,0.05,-0.39,0.85,0.4
200607,3.5,-3.01,-3.65,5.11,-3.79,2.42,-4.29,4.14,4.83,-0.9,-0.38,-3.98,2.6,0.4
200608,3.08,2.37,2.05,-3.29,7.42,2.28,2.22,2.33,2.28,1.72,2.45,1.03,-2.06,0.42
200609,-0.62,4.28,1.89,-3.82,3.57,3.66,5.69,1.53,-2.11,3.23,2.25,-1.36,0.08,0.41
200610,2.8,4.98,4.42,5.16,4.05,5.19,3.96,1.71,5.36,2.98,3.64,1.75,-0.31,0.41
200611,1.41,1.78,3.54,8.6,3.01,0.63,-1.28,0.06,3.06,1.61,2.13,0.7,0.14,0.42
200612,2,-0.77,0.51,-1.93,-0.99,4.33,1.45,0.15,0.73,3.21,1.27,-1.14,2.73,0.4
200701,1.52,2.85,3.17,-1.34,2,3,3.65,3.5,0.51,1.05,1.84,0.13,-0.68,0.44
200702,-1.53,-0.48,0.77,-2.11,-2.34,-2.77,-0.59,-2.85,4.14,-2.28,-1.58,1.19,-0.14,0.38
200703,2.62,-1.04,1.61,5.88,0.86,2.32,0.75,-0.25,4.33,-0.24,1.11,0.16,-0.97,0.43
200704,3.62,6.21,4.41,5.14,4.89,1.74,2.29,6.8,3.94,3.3,3.93,-2.16,-1.45,0.44
200705,2.89,3.19,4.78,7.13,3.93,7.31,2.36,1.14,1.2,3.18,3.65,0.24,-0.65,0.41
200706,-1.06,1.87,-0.68,0.87,0.52,-1.8,-1.97,-3.4,-4.83,-2.74,-1.56,0.74,-1.05,0.4
200707,-4.19,-5.81,-0.01,-1.12,-1.06,-3.1,-5.35,-3.99,-3.72,-5.33,-3.33,-2.61,-3.71,0.4
200708,1.83,-1.73,0.67,0.29,2.91,-0.86,1.52,2.27,1.84,1.17,1.34,-0.12,-1.86,0.42
200709,3.95,1.74,5.44,7.86,4.21,2.05,-0.63,3.53,3.54,2.66,3.54,-2.23,-2.21,0.32
200710,2.16,1,0.98,2.81,6.82,-2.17,1.18,1.54,6.83,0.2,2.12,0.08,-2.98,0.32
200711,0.85,-9.02,-2.65,-4.36,-7.53,-6.43,-3.75,0.03,-0.72,-5.98,-4.49,-2.93,-0.94,0.34
200712,-1.01,-2.19,1,7.68,1.49,-0.25,-2.67,-3.98,0.9,-3.47,-0.6,0.13,-0.55,0.27
200801,-5.2,-5.4,-7.43,-9.08,-12.37,-7.75,-0.49,-4.6,-6.93,-2.08,-6.15,-1.03,3.97,0.21
200802,-0.06,-5.97,0.74,6.87,-3.58,-3.88,-4.65,-0.93,-3.02,-7.87,-2.96,-0.43,-0.84,0.13
200803,1.21,-4.13,-0.1,-2.94,0.66,-0.05,1.86,-1.77,0.81,-1.92,-0.76,0.71,0.3,0.17
200804,-1.08,6.6,5.04,10.7,6.46,4.69,5.01,0.44,6.39,3.47,4.78,-1.72,-0.94,0.18
200805,3.32,1.36,3.3,4.23,5.68,4.73,1.18,1.63,3.58,-2.35,2.04,2.96,-1.43,0.18
200806,-7.42,-19.56,-9.25,2.76,-8.83,-10.89,-8.08,-3.01,-0.4,-14.64,-8.27,1.23,-2.71,0.17
200807,2.25,-0.23,-0.28,-15.67,-0.53,-3.18,1.14,6.73,-7.13,4.3,-0.62,2.61,5.42,0.15
200808,1.72,1.76,1.42,-0.03,2.39,4,5.38,1.8,-0.43,0.41,1.66,3.6,1.59,0.13
200809,-2.93,-9.19,-13.48,-12.1,-12.44,-12.61,-5.77,-5.96,-11.94,-6,-9.09,-1.23,5.91,0.15
200810,-13.02,-33.18,-20.75,-16.67,-18.33,-15.56,-15.13,-11.03,-11.12,-19.8,-17.15,-2.6,-2.3,0.08
200811,-5.47,-10.3,-7.76,0.22,-10.9,-1.58,-7.69,-7.35,1.23,-12.4,-7.83,-2.85,-6.31,0.03
200812,0.86,0.3,1.37,-2.42,2.17,3.46,4.88,6.74,-2.04,0.76,1.74,3.46,0.14,0
200901,-5.13,-13.78,-9.14,-3.53,-3.23,-10.28,-7.6,-2.21,-0.82,-17.81,-8.12,0.07,-11.29,0
200902,-7.65,-12.27,-13.49,-12.46,-5.06,-6.94,-3.06,-9.95,-12.59,-14.53,-10.09,0.05,-6.95,0.01
200903,6.42,11.95,7.61,3.95,11.5,7.51,9.95,7.06,2.79,13.01,8.97,0.03,3.47,0.02
200904,4.96,45.52,17.33,4.53,12.27,9.66,9.53,-0.9,2.09,16.17,10.19,5.4,5.36,0.01
200905,7.16,-3.65,5.49,10.37,3.03,1.05,-0.94,6.2,4.63,7.23,5.21,-2.52,0.28,0
200906,0.65,4.31,-1.71,-4.75,4.55,1.65,-0.29,3.59,4.63,-2.02,0.44,2.63,-2.73,0.01
200907,7.31,19.73,11.32,5.33,8.12,5.52,6.76,5.49,4.41,9.16,7.73,1.87,4.83,0.01
200908,0.74,2.45,2.97,0.79,2.27,0.73,3.7,2.21,0.25,7.7,3.34,-1.08,7.63,0.01
200909,4.21,2.14,6.52,5.07,5.22,6.48,2.4,2.39,2.24,3.14,4.09,2.43,1.05,0.01
200910,-0.62,-0.63,-2.85,2.45,-1.52,-3.48,0.05,-3.72,-2.71,-5.38,-2.59,-4.35,-4.21,0
200911,3.86,10.36,7.6,3.26,4.85,6.52,5.01,8.23,4.57,5.66,5.56,-2.4,-0.34,0
200912,2.64,5.69,2.88,-0.5,5.99,6.42,1.95,2.47,5.86,0.73,2.76,6.05,-0.17,0.01
201001,-2.4,-0.43,-3.32,-4.84,-7.84,-6.72,-1.84,-0.02,-4.44,-0.54,-3.36,0.4,0.43,0
201002,2.66,7.39,5.21,2.61,4.81,2.76,4.3,0.38,-0.42,3.64,3.4,1.19,3.23,0
201003,5.89,9.35,6.52,3.23,6.69,7.63,6.26,3.63,3.12,8.1,6.32,1.48,2.21,0.01
201004,-1.02,7.26,3.19,4.05,2.28,3.41,2.55,-2.18,2.85,1.83,2.01,4.87,2.89,0.01
201005,-5.73,-9.06,-8.42,-10.27,-7.78,-5.86,-5.36,-8.06,-6.29,-8.76,-7.88,0.09,-2.44,0.01
201006,-1.9,-10.67,-5.8,-6.36,-6.17,-3.84,-9.06,-1.67,-0.7,-6.52,-5.56,-1.82,-4.7,0.01
201007,7.36,15.72,9.66,7.69,7.31,9.53,4.61,2.14,6.81,6.81,6.94,0.2,-0.31,0.01
201008,-1.17,-9.67,-5.49,-3.43,-6.53,-1.99,-3.97,-1.66,0.37,-7.1,-4.76,-3,-1.9,0.01
201009,6.14,13.52,10.09,9.21,12.56,7.87,12.15,9.01,3.65,8.51,9.55,3.96,-3.16,0.01
201010,4.34,8.49,5.12,4.59,6.41,4.57,2.42,1.98,1.86,2.03,3.89,1.14,-2.43,0.01
201011,-0.07,7.47,1.43,5.52,-0.74,-1.89,4.17,-3.34,-1.33,0.5,0.61,3.77,-0.96,0.01
201012,4.35,8.61,7.01,9.41,5.99,6.58,3.23,5.44,3.22,9.23,6.83,0.73,3.7,0.01
201101,-2.37,0.3,2.98,6.93,3.93,0.07,-0.86,-0.72,2.2,2.1,2,-2.5,0.83,0.01
201102,4.72,-1.78,3.42,7.63,2.42,7.4,2.26,3.32,2.43,2.94,3.5,1.53,1.27,0.01
201103,3.02,1.74,1.86,2.1,-1.45,1.68,1.1,2.29,0.92,-1.08,0.47,2.54,-1.83,0.01
201104,4.61,2.22,2.96,1.59,3.14,3.3,4.51,6.34,4,1.06,2.9,-0.38,-2.43,0
201105,2.04,-3.54,-2.17,-4.52,-1.75,0.77,0.88,1.95,1.32,-2.64,-1.27,-0.59,-2.12,0
201106,-1.08,-1.06,-0.61,-2.34,-2.46,-1.39,-0.89,-1.88,-0.34,-2.12,-1.75,-0.12,-0.42,0
201107,-0.42,-8.93,-4.8,0.5,-0.52,-4.95,-0.64,-3.66,-0.33,-3.66,-2.35,-1.26,-0.9,0
201108,-0.66,-12.08,-6.14,-10.02,-6.79,-5.06,-2.89,-3.16,0.17,-8.15,-5.98,-3.05,-2.36,0.01
201109,-4.88,-14.1,-10.97,-12.31,-4.8,-5.77,-3.89,-3.95,-1.61,-11.1,-7.59,-3.31,-1.72,0
201110,6.29,23.28,14.09,16.24,11.8,7.59,9.77,5.54,6.7,13.59,11.35,3.28,0.1,0
201111,1.44,-8.02,1.39,2.15,-2,0.3,1.06,1.3,1,-2.03,-0.28,-0.16,-0.46,0
201112,1.89,-1.2,-0.78,-0.36,-1.42,3.13,0.9,3.51,2.93,1.46,0.74,-0.59,1.63,0
201201,0.39,13.55,6.74,1.03,8.49,2.37,4.07,3.41,-2.71,7.23,5.05,2.04,-0.97,0
201202,3.93,6.05,3.86,6.49,6.64,4.85,3.12,1.26,1.31,4.21,4.42,-1.85,0.43,0
201203,3.88,0.94,0.68,-3.27,4.66,2.31,4.66,3.94,1.48,4.9,3.11,-0.64,1.14,0
201204,0.81,-7.02,-0.72,-1.57,-2.11,1.75,0.96,0.61,1.73,-1.66,-0.85,-0.42,-0.78,0
201205,-2.67,-8.16,-7.78,-10.56,-7.85,-0.81,-3.05,-3.25,-0.91,-7.73,-6.18,0.07,-1.07,0.01
201206,3.42,-5.56,1.25,5.78,2.91,7.05,2.17,6.83,3.4,4.89,3.89,0.67,0.62,0
201207,1.38,0.38,0.86,2.82,-0.11,4.14,1.24,1.63,3.62,-1.23,0.79,-2.74,-0.02,0
201208,0.12,4.15,3.26,2.37,4.8,0.97,2.75,0.98,-3.44,3.12,2.56,0.47,1.3,0.01
201209,0.89,3.57,1.66,3.82,1.24,4.86,1.95,4.69,2.11,3.79,2.74,0.5,1.6,0.01
201210,-1.71,5.88,-0.62,-1.88,-6.34,-2.4,-1.02,-1.91,1.09,0.91,-1.75,-1.15,3.59,0.01
201211,3.22,3.12,2.66,-1.5,1.46,0.07,1.46,1.5,-3.76,-0.37,0.79,0.63,-0.84,0.01
201212,-2.28,7.31,2.76,1.33,0.36,1.15,-1.12,-0.53,0.08,3.67,1.19,1.48,3.51,0.01
201301,5.1,3.5,6.05,7.47,2.38,4.85,5.58,8.08,5.05,6.76,5.57,0.33,0.96,0
201302,3.19,0.01,1.28,0.68,0.67,2.29,0.85,1.32,2.2,1.41,1.29,-0.27,0.11,0
201303,5.06,4.03,2.61,2.07,2.72,5.64,4.72,6.51,5.68,4.18,4.03,0.81,-0.19,0
201304,3.78,3.65,0.75,-1.39,0.4,4.3,2.69,2.6,5.13,0.83,1.55,-2.37,0.45,0
201305,-2.31,9.88,3.48,3.05,4.55,-1.8,2.23,1.62,-7.11,5.92,2.8,1.7,2.63,0
201306,0.11,-0.46,-1.99,-2.39,-2.92,2.09,-0.06,-1.37,0.82,-1.19,-1.2,1.33,0.03,0
201307,2.86,9.01,6.15,5.18,5.7,3.42,5.9,8.08,4.58,5.69,5.65,1.87,0.57,0
201308,-3.93,-1.02,-1.84,-1.89,-0.2,-3.29,-4.23,-3.68,-4.42,-3.64,-2.71,0.27,-2.69,0
201309,1.95,6.47,5.2,1.97,3.83,4.28,4.51,4.16,1.04,3.83,3.77,2.88,-1.22,0
201310,4.81,0.76,4.52,4.78,3.8,5.81,5.11,3.56,3.34,3.9,4.18,-1.53,1.25,0
201311,1.29,1.88,2.87,0.85,3.58,0.09,3.68,4.49,-1.8,4.79,3.13,1.29,0.32,0
201312,2.45,1.24,3.11,3.05,3.99,3.97,0.28,0.62,1.79,3.1,2.81,-0.46,-0.02,0
201401,-5.75,-3.61,-4.19,-6.89,-1.39,-3.8,-6.45,1.88,2.49,-4.37,-3.32,0.89,-2.07,0
201402,3.43,8,5.39,5.66,5.14,2.56,5.35,6.48,3.08,3.49,4.65,0.35,-0.31,0
201403,3.26,-1.13,0.37,2.44,-0.62,0.17,-0.58,-2.56,2.68,1.98,0.43,-1.81,4.93,0
201404,1.54,0.33,0.9,5.67,-1.05,0.39,-0.95,-0.41,3.98,-1.97,-0.19,-4.19,1.17,0
201405,3.47,0.69,1.19,0.88,3.39,4.1,0.98,1.87,0,1.86,2.06,-1.88,-0.13,0
201406,1.16,4.45,1.37,4.12,2.88,1.54,1.29,2.9,5.41,2.45,2.61,3.09,-0.7,0
201407,-4.34,-4.66,-4.13,-3.55,0.23,0.79,-2.25,-0.3,-6.4,-2.27,-2.04,-4.29,0.03,0
201408,5.56,5.19,4.81,2.31,4.24,0.32,5.01,5.54,5.31,4.12,4.24,0.4,-0.45,0
201409,-0.1,-9.41,-2.54,-7.83,-1.35,-1.44,-1.44,-0.22,-3.37,-1.13,-1.97,-3.71,-1.34,0
201410,2.67,3.72,2.38,-4.19,1.46,1.31,3.06,5.9,6.71,3.44,2.52,4.21,-1.81,0
201411,4.74,4.73,2.25,-9.59,4.3,2.46,7.57,2.52,0.26,2.49,2.55,-2.06,-3.09,0
201412,-2.41,0.6,-0.11,0.54,-1.2,-2.04,1.6,-0.82,1.86,1.17,-0.06,2.49,2.27,0
201501,-0.55,-4.36,-3.75,-4.31,-3.49,-4.47,-0.25,1.59,1.24,-6.36,-3.11,-0.56,-3.58,0
201502,5.13,8.18,6.14,4.73,8.25,8.91,5.56,4.24,-4.35,7.21,6.13,0.63,-1.86,0
201503,-2.44,-0.46,-2.06,-2.49,-2.47,-2.11,0.69,0.76,-0.32,-0.59,-1.12,3.04,-0.37,0
201504,0.85,-1.01,-0.71,6.67,1.44,3.6,-2.19,-1.42,0.28,0.62,0.59,-3.06,1.82,0
201505,1.49,1.04,0.89,-5.1,1.99,0.33,0.94,4.91,-0.46,1.74,1.36,0.93,-1.14,0
201506,-1.34,-1.65,-1.97,-3.77,-3.58,-0.52,-0.57,0.16,-5.29,0.03,-1.53,2.91,-0.79,0
201507,4.96,-2.09,-2.06,-8.93,2.38,1.55,4.91,3.49,2.65,1.82,1.54,-4.17,-4.13,0
201508,-4.11,-6.14,-5.62,-3.64,-5.79,-8.38,-5.37,-8.37,-4.06,-6.18,-6.04,0.33,2.77,0
201509,-0.56,-3.3,-4.26,-5.74,-1.48,-2.49,-1.79,-6.95,-0.5,-3.06,-3.07,-2.62,0.56,0
201510,6.8,6.78,9.42,12.17,10.18,9.07,4.51,7.5,2.09,6.6,7.75,-1.88,-0.46,0
201511,-0.91,1.94,0.43,1.06,1.25,-2.02,0.91,0.57,-3.44,1.38,0.56,3.6,-0.42,0
201512,0.78,-3.99,-2.58,-9.61,-2.63,-2.97,0.31,0.29,-2.36,-2.67,-2.16,-2.84,-2.61,0.01
201601,0.17,-12.63,-5.72,-4.36,-6.12,0.34,-4.18,-10.13,4.67,-8.77,-5.76,-3.42,2.09,0.01
201602,0.59,4.09,3.35,-2.95,-0.86,0.95,0.07,-0.98,1.75,-0.43,-0.05,0.73,-0.57,0.02
201603,5,10.8,6.9,10.89,8.35,6.13,5.72,3.96,7.86,7.16,6.98,0.82,1.19,0.02
201604,0.3,1.52,2.32,9.17,-4.1,0.67,-0.64,4.95,-0.8,2.39,0.92,0.76,3.28,0.01
201605,0.73,-1.2,-0.52,-0.59,5.07,0.29,0.98,2.41,2.24,1.2,1.79,-0.17,-1.66,0.01
201606,4.73,-5.8,0.92,2.55,-1.77,3.57,0.88,-0.16,7.42,-3.07,-0.03,0.61,-1.48,0.02
201607,-0.06,8.81,4.07,-2.73,7.63,2.24,3.51,6.16,-0.26,3.75,3.97,2.49,-1.32,0.02
201608,-0.61,0.19,1.48,1.61,1.8,-3.17,-1.42,-3.14,-3.77,3.3,0.51,1.15,3.18,0.02
201609,-2.48,-1.66,-0.09,2.83,2.3,0.48,-0.67,0.58,1.83,-1.1,0.27,2.12,-1.24,0.02
201610,-0.18,-3.56,-2.58,-2.96,-1.14,-3.03,-3.97,-7.52,-0.67,0.74,-2,-4.4,4.09,0.02
201611,-3.87,7.49,6.29,9.57,0.62,6.55,4.39,2.4,-2.64,11.64,4.87,5.71,8.21,0.01
201612,3.46,4,0.5,1.97,0.95,4.88,-0.4,0.72,3.61,2.97,1.85,0.1,3.53,0.03
201701,1.69,2.94,3.35,-4.29,4.58,3.36,1.03,2.03,1.07,0.95,1.98,-1.19,-2.75,0.04
201702,3.75,0.62,4.16,-2.46,4.89,-0.03,2.82,7,3.98,3.68,3.61,-2.05,-1.67,0.04
201703,0.88,0.23,0.13,-1.19,2.09,0.92,0.81,0.04,0.37,-1.66,0.2,1.14,-3.35,0.03
201704,0.51,1.85,1.86,-2.74,2.61,0.17,2.7,0.91,0.33,0.3,1.14,0.73,-2.13,0.05
201705,3.23,-0.36,1.29,-3.36,4.23,-1.4,1.65,-0.26,2.43,-0.52,1.12,-2.57,-3.78,0.06
201706,-1.06,3.59,1.21,-0.15,-2.04,-2.45,-1.94,5.54,-1.91,4.41,0.84,2.25,1.48,0.06
201707,-0.13,-1.19,2.18,2.06,3.67,5.27,0.16,0.7,2.99,1.36,1.94,-1.51,-0.31,0.07
201708,-1.75,-0.02,0.34,-5.09,3.01,-2.47,-1.63,2.59,2.17,-0.64,0.25,-1.67,-2.1,0.09
201709,-0.4,5.29,4.22,10.93,0.68,-1.51,2.42,2.09,-1.95,4.57,2.6,4.47,3.13,0.09
201710,0.08,1.2,2.78,0.5,6.93,-5.55,2.78,-2.26,3.02,2.08,2.34,-1.94,0.2,0.09
201711,4.07,-0.65,3.46,2.95,1.04,4.07,8.04,2.46,2.42,3.91,3.2,-0.55,-0.03,0.08
201712,2.01,-0.87,2.29,5.01,-0.16,4.48,2.44,-0.15,-4.98,1.41,1.15,-1.32,0.06,0.09
201801,1.93,2.66,4.1,2.8,7.85,3.16,9.41,6.38,-2.81,5.78,5.69,-3.12,-1.29,0.12
201802,-6.22,-6.08,-4.04,-10.75,-0.09,-7.05,-4.64,-3.49,-4.54,-3.27,-3.54,0.26,-1.04,0.11
