"flight","airline","source_city","destination_city","days_left","price"
"G8-346","GO_FIRST","Delhi","Mumbai",3,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",3,58.4
"G8-323","GO_FIRST","Delhi","Mumbai",3,58.4
"6E-5001","Indigo","Delhi","Mumbai",3,58.41
"6E-218","Indigo","Delhi","Mumbai",3,58.41
"6E-6278","Indigo","Delhi","Mumbai",3,58.41
"6E-5328","Indigo","Delhi","Mumbai",3,58.41
"I5-764","AirAsia","Delhi","Mumbai",3,58.42
"AI-887","Air_India","Delhi","Mumbai",3,58.41
"AI-665","Air_India","Delhi","Mumbai",3,58.41
"AI-805","Air_India","Delhi","Mumbai",3,58.41
"AI-624","Air_India","Delhi","Mumbai",3,58.41
"UK-985","Vistara","Delhi","Mumbai",3,62.52
"SG-8709","SpiceJet","Delhi","Mumbai",3,59.44
"UK-977","Vistara","Delhi","Mumbai",3,65.61
"G8-336","GO_FIRST","Delhi","Mumbai",3,64.06
"G8-330","GO_FIRST","Delhi","Mumbai",3,64.06
"UK-945","Vistara","Delhi","Mumbai",3,68.7
"AI-868","Air_India","Delhi","Mumbai",3,66.64
"G8-392","GO_FIRST","Delhi","Mumbai",3,69.73
"6E-6202","Indigo","Delhi","Mumbai",3,76.94
"6E-5041","Indigo","Delhi","Mumbai",3,79
"6E-2046","Indigo","Delhi","Mumbai",3,82.09
"6E-549","Indigo","Delhi","Mumbai",3,82.09
"UK-933","Vistara","Delhi","Mumbai",3,93.42
"UK-951","Vistara","Delhi","Mumbai",3,125.34
"UK-953","Vistara","Delhi","Mumbai",3,154.18
"UK-955","Vistara","Delhi","Mumbai",3,154.18
"6E-6722","Indigo","Delhi","Mumbai",3,154.18
"SG-8709","SpiceJet","Delhi","Mumbai",4,58.39
"SG-1089","SpiceJet","Delhi","Mumbai",4,58.39
"SG-1061","SpiceJet","Delhi","Mumbai",4,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",4,58.39
"SG-1063","SpiceJet","Delhi","Mumbai",4,58.39
"SG-8169","SpiceJet","Delhi","Mumbai",4,58.39
"UK-951","Vistara","Delhi","Mumbai",4,58.41
"UK-933","Vistara","Delhi","Mumbai",4,58.41
"UK-985","Vistara","Delhi","Mumbai",4,58.41
"UK-995","Vistara","Delhi","Mumbai",4,58.41
"UK-977","Vistara","Delhi","Mumbai",4,58.41
"UK-945","Vistara","Delhi","Mumbai",4,58.41
"UK-955","Vistara","Delhi","Mumbai",4,58.41
"UK-927","Vistara","Delhi","Mumbai",4,59.44
"UK-953","Vistara","Delhi","Mumbai",4,59.44
"G8-336","GO_FIRST","Delhi","Mumbai",4,58.4
"G8-392","GO_FIRST","Delhi","Mumbai",4,58.4
"G8-346","GO_FIRST","Delhi","Mumbai",4,58.4
"G8-330","GO_FIRST","Delhi","Mumbai",4,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",4,58.4
"G8-323","GO_FIRST","Delhi","Mumbai",4,58.4
"6E-2054","Indigo","Delhi","Mumbai",4,58.41
"6E-6202","Indigo","Delhi","Mumbai",4,58.41
"6E-2046","Indigo","Delhi","Mumbai",4,58.41
"6E-5041","Indigo","Delhi","Mumbai",4,58.41
"SG-8803","SpiceJet","Delhi","Mumbai",4,58.41
"6E-218","Indigo","Delhi","Mumbai",4,58.41
"6E-549","Indigo","Delhi","Mumbai",4,58.41
"6E-6722","Indigo","Delhi","Mumbai",4,58.41
"6E-6278","Indigo","Delhi","Mumbai",4,58.41
"6E-5328","Indigo","Delhi","Mumbai",4,58.41
"AI-868","Air_India","Delhi","Mumbai",4,58.41
"AI-887","Air_India","Delhi","Mumbai",4,58.41
"AI-665","Air_India","Delhi","Mumbai",4,58.41
"AI-805","Air_India","Delhi","Mumbai",4,58.41
"AI-678","Air_India","Delhi","Mumbai",4,58.41
"AI-624","Air_India","Delhi","Mumbai",4,58.41
"I5-764","AirAsia","Delhi","Mumbai",4,60.21
"6E-5001","Indigo","Delhi","Mumbai",4,60.46
"UK-963","Vistara","Delhi","Mumbai",4,65.61
"G8-334","GO_FIRST","Delhi","Mumbai",4,64.06
"SG-1091","SpiceJet","Delhi","Mumbai",5,58.39
"SG-8709","SpiceJet","Delhi","Mumbai",5,58.39
"SG-1089","SpiceJet","Delhi","Mumbai",5,58.39
"SG-8803","SpiceJet","Delhi","Mumbai",5,58.39
"SG-1061","SpiceJet","Delhi","Mumbai",5,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",5,58.39
"SG-1063","SpiceJet","Delhi","Mumbai",5,58.39
"SG-8169","SpiceJet","Delhi","Mumbai",5,58.39
"UK-981","Vistara","Delhi","Mumbai",5,58.41
"UK-927","Vistara","Delhi","Mumbai",5,58.41
"UK-975","Vistara","Delhi","Mumbai",5,58.41
"UK-993","Vistara","Delhi","Mumbai",5,58.41
"UK-951","Vistara","Delhi","Mumbai",5,58.41
"UK-933","Vistara","Delhi","Mumbai",5,58.41
"UK-985","Vistara","Delhi","Mumbai",5,58.41
"UK-953","Vistara","Delhi","Mumbai",5,58.41
"UK-943","Vistara","Delhi","Mumbai",5,58.41
"UK-995","Vistara","Delhi","Mumbai",5,58.41
"UK-977","Vistara","Delhi","Mumbai",5,58.41
"UK-963","Vistara","Delhi","Mumbai",5,58.41
"UK-945","Vistara","Delhi","Mumbai",5,58.41
"UK-941","Vistara","Delhi","Mumbai",5,58.41
"UK-955","Vistara","Delhi","Mumbai",5,58.41
"G8-334","GO_FIRST","Delhi","Mumbai",5,58.4
"G8-336","GO_FIRST","Delhi","Mumbai",5,58.4
"G8-392","GO_FIRST","Delhi","Mumbai",5,58.4
"G8-346","GO_FIRST","Delhi","Mumbai",5,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",5,58.4
"G8-323","GO_FIRST","Delhi","Mumbai",5,58.4
"6E-2054","Indigo","Delhi","Mumbai",5,58.41
"6E-5001","Indigo","Delhi","Mumbai",5,58.41
"6E-6202","Indigo","Delhi","Mumbai",5,58.41
"6E-2046","Indigo","Delhi","Mumbai",5,58.41
"6E-5041","Indigo","Delhi","Mumbai",5,58.41
"6E-218","Indigo","Delhi","Mumbai",5,58.41
"6E-549","Indigo","Delhi","Mumbai",5,58.41
"6E-6722","Indigo","Delhi","Mumbai",5,58.41
"6E-6278","Indigo","Delhi","Mumbai",5,58.41
"6E-5328","Indigo","Delhi","Mumbai",5,58.41
"AI-868","Air_India","Delhi","Mumbai",5,58.41
"AI-887","Air_India","Delhi","Mumbai",5,58.41
"AI-665","Air_India","Delhi","Mumbai",5,58.41
"AI-805","Air_India","Delhi","Mumbai",5,58.41
"AI-678","Air_India","Delhi","Mumbai",5,58.41
"AI-624","Air_India","Delhi","Mumbai",5,58.41
"I5-764","AirAsia","Delhi","Mumbai",5,60.21
"G8-330","GO_FIRST","Delhi","Mumbai",5,64.06
"SG-1091","SpiceJet","Delhi","Mumbai",6,58.39
"SG-8709","SpiceJet","Delhi","Mumbai",6,58.39
"SG-1089","SpiceJet","Delhi","Mumbai",6,58.39
"SG-8803","SpiceJet","Delhi","Mumbai",6,58.39
"SG-1061","SpiceJet","Delhi","Mumbai",6,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",6,58.39
"SG-1063","SpiceJet","Delhi","Mumbai",6,58.39
"SG-8169","SpiceJet","Delhi","Mumbai",6,58.39
"I5-764","AirAsia","Delhi","Mumbai",6,58.42
"UK-927","Vistara","Delhi","Mumbai",6,58.41
"UK-975","Vistara","Delhi","Mumbai",6,58.41
"UK-993","Vistara","Delhi","Mumbai",6,58.41
"UK-951","Vistara","Delhi","Mumbai",6,58.41
"UK-933","Vistara","Delhi","Mumbai",6,58.41
"UK-985","Vistara","Delhi","Mumbai",6,58.41
"UK-953","Vistara","Delhi","Mumbai",6,58.41
"UK-943","Vistara","Delhi","Mumbai",6,58.41
"UK-995","Vistara","Delhi","Mumbai",6,58.41
"UK-977","Vistara","Delhi","Mumbai",6,58.41
"UK-963","Vistara","Delhi","Mumbai",6,58.41
"UK-945","Vistara","Delhi","Mumbai",6,58.41
"UK-941","Vistara","Delhi","Mumbai",6,58.41
"UK-955","Vistara","Delhi","Mumbai",6,58.41
"UK-981","Vistara","Delhi","Mumbai",6,59.44
"G8-334","GO_FIRST","Delhi","Mumbai",6,58.4
"G8-392","GO_FIRST","Delhi","Mumbai",6,58.4
"G8-346","GO_FIRST","Delhi","Mumbai",6,58.4
"G8-330","GO_FIRST","Delhi","Mumbai",6,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",6,58.4
"G8-323","GO_FIRST","Delhi","Mumbai",6,58.4
"6E-2054","Indigo","Delhi","Mumbai",6,58.41
"6E-5001","Indigo","Delhi","Mumbai",6,58.41
"6E-6202","Indigo","Delhi","Mumbai",6,58.41
"6E-5041","Indigo","Delhi","Mumbai",6,58.41
"6E-2137","Indigo","Delhi","Mumbai",6,58.41
"6E-6278","Indigo","Delhi","Mumbai",6,58.41
"6E-218","Indigo","Delhi","Mumbai",6,58.41
"6E-5328","Indigo","Delhi","Mumbai",6,58.41
"AI-868","Air_India","Delhi","Mumbai",6,58.41
"AI-887","Air_India","Delhi","Mumbai",6,58.41
"AI-665","Air_India","Delhi","Mumbai",6,58.41
"AI-805","Air_India","Delhi","Mumbai",6,58.41
"AI-678","Air_India","Delhi","Mumbai",6,58.41
"AI-624","Air_India","Delhi","Mumbai",6,58.41
"6E-6722","Indigo","Delhi","Mumbai",6,60.46
"G8-336","GO_FIRST","Delhi","Mumbai",6,64.06
"6E-2046","Indigo","Delhi","Mumbai",6,64.58
"6E-549","Indigo","Delhi","Mumbai",6,64.58
"SG-8709","SpiceJet","Delhi","Mumbai",7,58.39
"SG-1089","SpiceJet","Delhi","Mumbai",7,58.39
"SG-8803","SpiceJet","Delhi","Mumbai",7,58.39
"SG-1061","SpiceJet","Delhi","Mumbai",7,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",7,58.39
"SG-1063","SpiceJet","Delhi","Mumbai",7,58.39
"SG-8169","SpiceJet","Delhi","Mumbai",7,58.39
"UK-981","Vistara","Delhi","Mumbai",7,58.41
"UK-927","Vistara","Delhi","Mumbai",7,58.41
"UK-975","Vistara","Delhi","Mumbai",7,58.41
"UK-993","Vistara","Delhi","Mumbai",7,58.41
"UK-951","Vistara","Delhi","Mumbai",7,58.41
"UK-933","Vistara","Delhi","Mumbai",7,58.41
"UK-985","Vistara","Delhi","Mumbai",7,58.41
"UK-953","Vistara","Delhi","Mumbai",7,58.41
"UK-943","Vistara","Delhi","Mumbai",7,58.41
"UK-995","Vistara","Delhi","Mumbai",7,58.41
"UK-963","Vistara","Delhi","Mumbai",7,58.41
"UK-945","Vistara","Delhi","Mumbai",7,58.41
"UK-941","Vistara","Delhi","Mumbai",7,58.41
"UK-955","Vistara","Delhi","Mumbai",7,58.41
"UK-977","Vistara","Delhi","Mumbai",7,59.44
"G8-392","GO_FIRST","Delhi","Mumbai",7,58.4
"G8-346","GO_FIRST","Delhi","Mumbai",7,58.4
"G8-330","GO_FIRST","Delhi","Mumbai",7,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",7,58.4
"G8-323","GO_FIRST","Delhi","Mumbai",7,58.4
"6E-2054","Indigo","Delhi","Mumbai",7,58.41
"6E-5001","Indigo","Delhi","Mumbai",7,58.41
"6E-5041","Indigo","Delhi","Mumbai",7,58.41
"6E-2137","Indigo","Delhi","Mumbai",7,58.41
"6E-6722","Indigo","Delhi","Mumbai",7,58.41
"6E-218","Indigo","Delhi","Mumbai",7,58.41
"AI-868","Air_India","Delhi","Mumbai",7,58.41
"AI-887","Air_India","Delhi","Mumbai",7,58.41
"AI-665","Air_India","Delhi","Mumbai",7,58.41
"AI-865","Air_India","Delhi","Mumbai",7,58.41
"AI-805","Air_India","Delhi","Mumbai",7,58.41
"AI-678","Air_India","Delhi","Mumbai",7,58.41
"AI-624","Air_India","Delhi","Mumbai",7,58.41
"6E-549","Indigo","Delhi","Mumbai",7,60.46
"6E-5328","Indigo","Delhi","Mumbai",7,60.46
"I5-764","AirAsia","Delhi","Mumbai",7,62.27
"G8-334","GO_FIRST","Delhi","Mumbai",7,64.06
"G8-336","GO_FIRST","Delhi","Mumbai",7,64.06
"6E-6202","Indigo","Delhi","Mumbai",7,64.58
"6E-2046","Indigo","Delhi","Mumbai",7,64.58
"6E-6278","Indigo","Delhi","Mumbai",7,69.73
"SG-1091","SpiceJet","Delhi","Mumbai",8,58.39
"SG-8709","SpiceJet","Delhi","Mumbai",8,58.39
"SG-1089","SpiceJet","Delhi","Mumbai",8,58.39
"SG-8803","SpiceJet","Delhi","Mumbai",8,58.39
"SG-1061","SpiceJet","Delhi","Mumbai",8,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",8,58.39
"SG-1063","SpiceJet","Delhi","Mumbai",8,58.39
"SG-8169","SpiceJet","Delhi","Mumbai",8,58.39
"UK-927","Vistara","Delhi","Mumbai",8,58.41
"UK-975","Vistara","Delhi","Mumbai",8,58.41
"UK-993","Vistara","Delhi","Mumbai",8,58.41
"UK-951","Vistara","Delhi","Mumbai",8,58.41
"UK-933","Vistara","Delhi","Mumbai",8,58.41
"UK-953","Vistara","Delhi","Mumbai",8,58.41
"UK-943","Vistara","Delhi","Mumbai",8,58.41
"UK-995","Vistara","Delhi","Mumbai",8,58.41
"UK-963","Vistara","Delhi","Mumbai",8,58.41
"UK-945","Vistara","Delhi","Mumbai",8,58.41
"UK-941","Vistara","Delhi","Mumbai",8,58.41
"UK-955","Vistara","Delhi","Mumbai",8,58.41
"G8-392","GO_FIRST","Delhi","Mumbai",8,58.4
"G8-346","GO_FIRST","Delhi","Mumbai",8,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",8,58.4
"G8-323","GO_FIRST","Delhi","Mumbai",8,58.4
"6E-2054","Indigo","Delhi","Mumbai",8,58.41
"6E-5001","Indigo","Delhi","Mumbai",8,58.41
"6E-2137","Indigo","Delhi","Mumbai",8,58.41
"6E-218","Indigo","Delhi","Mumbai",8,58.41
"6E-5328","Indigo","Delhi","Mumbai",8,58.41
"I5-764","AirAsia","Delhi","Mumbai",8,58.42
"AI-868","Air_India","Delhi","Mumbai",8,58.41
"AI-887","Air_India","Delhi","Mumbai",8,58.41
"AI-665","Air_India","Delhi","Mumbai",8,58.41
"AI-865","Air_India","Delhi","Mumbai",8,58.41
"AI-805","Air_India","Delhi","Mumbai",8,58.41
"AI-678","Air_India","Delhi","Mumbai",8,58.41
"AI-624","Air_India","Delhi","Mumbai",8,58.41
"UK-981","Vistara","Delhi","Mumbai",8,62.52
"UK-985","Vistara","Delhi","Mumbai",8,62.52
"6E-2046","Indigo","Delhi","Mumbai",8,60.46
"6E-5041","Indigo","Delhi","Mumbai",8,60.46
"6E-6278","Indigo","Delhi","Mumbai",8,60.46
"UK-977","Vistara","Delhi","Mumbai",8,65.61
"G8-334","GO_FIRST","Delhi","Mumbai",8,64.06
"G8-336","GO_FIRST","Delhi","Mumbai",8,64.06
"G8-330","GO_FIRST","Delhi","Mumbai",8,64.06
"6E-6202","Indigo","Delhi","Mumbai",8,64.58
"6E-549","Indigo","Delhi","Mumbai",8,64.58
"6E-6722","Indigo","Delhi","Mumbai",8,85.18
"SG-1089","SpiceJet","Delhi","Mumbai",9,58.41
"SG-8803","SpiceJet","Delhi","Mumbai",9,58.41
"SG-1061","SpiceJet","Delhi","Mumbai",9,58.41
"SG-8157","SpiceJet","Delhi","Mumbai",9,58.41
"SG-1063","SpiceJet","Delhi","Mumbai",9,58.41
"SG-8169","SpiceJet","Delhi","Mumbai",9,58.41
"UK-981","Vistara","Delhi","Mumbai",9,58.41
"UK-927","Vistara","Delhi","Mumbai",9,58.41
"UK-975","Vistara","Delhi","Mumbai",9,58.41
"UK-993","Vistara","Delhi","Mumbai",9,58.41
"UK-951","Vistara","Delhi","Mumbai",9,58.41
"UK-933","Vistara","Delhi","Mumbai",9,58.41
"UK-985","Vistara","Delhi","Mumbai",9,58.41
"UK-953","Vistara","Delhi","Mumbai",9,58.41
"UK-943","Vistara","Delhi","Mumbai",9,58.41
"UK-995","Vistara","Delhi","Mumbai",9,58.41
"UK-977","Vistara","Delhi","Mumbai",9,58.41
"UK-963","Vistara","Delhi","Mumbai",9,58.41
"UK-945","Vistara","Delhi","Mumbai",9,58.41
"UK-941","Vistara","Delhi","Mumbai",9,58.41
"UK-955","Vistara","Delhi","Mumbai",9,58.41
"G8-334","GO_FIRST","Delhi","Mumbai",9,58.4
"G8-346","GO_FIRST","Delhi","Mumbai",9,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",9,58.4
"6E-2054","Indigo","Delhi","Mumbai",9,58.41
"6E-5001","Indigo","Delhi","Mumbai",9,58.41
"6E-2137","Indigo","Delhi","Mumbai",9,58.41
"6E-6278","Indigo","Delhi","Mumbai",9,58.41
"6E-218","Indigo","Delhi","Mumbai",9,58.41
"6E-5328","Indigo","Delhi","Mumbai",9,58.41
"AI-868","Air_India","Delhi","Mumbai",9,58.41
"AI-887","Air_India","Delhi","Mumbai",9,58.41
"AI-665","Air_India","Delhi","Mumbai",9,58.41
"AI-865","Air_India","Delhi","Mumbai",9,58.41
"AI-805","Air_India","Delhi","Mumbai",9,58.41
"AI-678","Air_India","Delhi","Mumbai",9,58.41
"AI-624","Air_India","Delhi","Mumbai",9,58.41
"SG-8709","SpiceJet","Delhi","Mumbai",9,59.44
"6E-6202","Indigo","Delhi","Mumbai",9,60.46
"6E-5041","Indigo","Delhi","Mumbai",9,60.46
"6E-6722","Indigo","Delhi","Mumbai",9,60.46
"G8-336","GO_FIRST","Delhi","Mumbai",9,64.06
"G8-392","GO_FIRST","Delhi","Mumbai",9,64.06
"G8-330","GO_FIRST","Delhi","Mumbai",9,64.06
"G8-323","GO_FIRST","Delhi","Mumbai",9,64.06
"I5-764","AirAsia","Delhi","Mumbai",9,64.33
"6E-2046","Indigo","Delhi","Mumbai",9,64.58
"I5-482","AirAsia","Delhi","Mumbai",9,66.39
"6E-549","Indigo","Delhi","Mumbai",9,73.85
"SG-1089","SpiceJet","Delhi","Mumbai",10,58.39
"SG-8803","SpiceJet","Delhi","Mumbai",10,58.39
"SG-1061","SpiceJet","Delhi","Mumbai",10,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",10,58.39
"I5-764","AirAsia","Delhi","Mumbai",10,58.42
"UK-927","Vistara","Delhi","Mumbai",10,58.41
"UK-943","Vistara","Delhi","Mumbai",10,58.41
"UK-995","Vistara","Delhi","Mumbai",10,58.41
"UK-977","Vistara","Delhi","Mumbai",10,58.41
"UK-963","Vistara","Delhi","Mumbai",10,58.41
"UK-955","Vistara","Delhi","Mumbai",10,58.41
"G8-334","GO_FIRST","Delhi","Mumbai",10,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",10,58.4
"6E-2054","Indigo","Delhi","Mumbai",10,58.41
"6E-5001","Indigo","Delhi","Mumbai",10,58.41
"6E-6261","Indigo","Delhi","Mumbai",10,58.41
"6E-6278","Indigo","Delhi","Mumbai",10,58.41
"AI-887","Air_India","Delhi","Mumbai",10,58.41
"AI-665","Air_India","Delhi","Mumbai",10,58.41
"AI-865","Air_India","Delhi","Mumbai",10,58.41
"AI-678","Air_India","Delhi","Mumbai",10,58.41
"UK-945","Vistara","Delhi","Mumbai",10,62.52
"UK-941","Vistara","Delhi","Mumbai",10,62.52
"6E-218","Indigo","Delhi","Mumbai",10,60.46
"SG-8709","SpiceJet","Delhi","Mumbai",10,61.49
"UK-993","Vistara","Delhi","Mumbai",10,65.61
"UK-985","Vistara","Delhi","Mumbai",10,65.61
"UK-953","Vistara","Delhi","Mumbai",10,65.61
"AI-805","Air_India","Delhi","Mumbai",10,62.52
"AI-624","Air_India","Delhi","Mumbai",10,62.52
"SG-8169","SpiceJet","Delhi","Mumbai",10,63.55
"G8-346","GO_FIRST","Delhi","Mumbai",10,64.06
"G8-330","GO_FIRST","Delhi","Mumbai",10,64.06
"6E-2137","Indigo","Delhi","Mumbai",10,64.58
"6E-5328","Indigo","Delhi","Mumbai",10,64.58
"UK-981","Vistara","Delhi","Mumbai",10,73.85
"UK-951","Vistara","Delhi","Mumbai",10,73.85
"UK-933","Vistara","Delhi","Mumbai",10,73.85
"AI-868","Air_India","Delhi","Mumbai",10,70.76
"6E-6722","Indigo","Delhi","Mumbai",10,73.85
"6E-5041","Indigo","Delhi","Mumbai",10,76.94
"6E-6202","Indigo","Delhi","Mumbai",10,79
"6E-2046","Indigo","Delhi","Mumbai",10,85.18
"6E-549","Indigo","Delhi","Mumbai",10,85.18
"SG-8709","SpiceJet","Delhi","Mumbai",11,58.39
"SG-1089","SpiceJet","Delhi","Mumbai",11,58.39
"SG-8803","SpiceJet","Delhi","Mumbai",11,58.39
"SG-1061","SpiceJet","Delhi","Mumbai",11,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",11,58.39
"SG-8169","SpiceJet","Delhi","Mumbai",11,58.39
"UK-981","Vistara","Delhi","Mumbai",11,58.41
"UK-927","Vistara","Delhi","Mumbai",11,58.41
"UK-975","Vistara","Delhi","Mumbai",11,58.41
"UK-993","Vistara","Delhi","Mumbai",11,58.41
"UK-951","Vistara","Delhi","Mumbai",11,58.41
"UK-933","Vistara","Delhi","Mumbai",11,58.41
"UK-985","Vistara","Delhi","Mumbai",11,58.41
"UK-953","Vistara","Delhi","Mumbai",11,58.41
"UK-943","Vistara","Delhi","Mumbai",11,58.41
"UK-995","Vistara","Delhi","Mumbai",11,58.41
"UK-977","Vistara","Delhi","Mumbai",11,58.41
"UK-963","Vistara","Delhi","Mumbai",11,58.41
"UK-945","Vistara","Delhi","Mumbai",11,58.41
"UK-941","Vistara","Delhi","Mumbai",11,58.41
"UK-955","Vistara","Delhi","Mumbai",11,58.41
"G8-7533","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-7534","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-7535","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-530","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-334","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-354","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-2501","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-336","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-392","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-346","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-330","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",11,58.4
"G8-323","GO_FIRST","Delhi","Mumbai",11,58.4
"6E-171","Indigo","Delhi","Mumbai",11,58.41
"6E-2054","Indigo","Delhi","Mumbai",11,58.41
"6E-2137","Indigo","Delhi","Mumbai",11,58.41
"6E-6261","Indigo","Delhi","Mumbai",11,58.41
"6E-6722","Indigo","Delhi","Mumbai",11,58.41
"6E-218","Indigo","Delhi","Mumbai",11,58.41
"6E-5328","Indigo","Delhi","Mumbai",11,58.41
"I5-764","AirAsia","Delhi","Mumbai",11,58.42
"AI-868","Air_India","Delhi","Mumbai",11,58.41
"AI-887","Air_India","Delhi","Mumbai",11,58.41
"AI-665","Air_India","Delhi","Mumbai",11,58.41
"AI-865","Air_India","Delhi","Mumbai",11,58.41
"AI-805","Air_India","Delhi","Mumbai",11,58.41
"AI-678","Air_India","Delhi","Mumbai",11,58.41
"AI-624","Air_India","Delhi","Mumbai",11,58.41
"6E-5001","Indigo","Delhi","Mumbai",11,60.46
"6E-2046","Indigo","Delhi","Mumbai",11,60.46
"6E-549","Indigo","Delhi","Mumbai",11,60.46
"6E-6278","Indigo","Delhi","Mumbai",11,60.46
"I5-482","AirAsia","Delhi","Mumbai",11,62.27
"6E-6202","Indigo","Delhi","Mumbai",11,64.58
"6E-5041","Indigo","Delhi","Mumbai",11,64.58
"SG-1091","SpiceJet","Delhi","Mumbai",12,58.41
"SG-8709","SpiceJet","Delhi","Mumbai",12,58.41
