"earnings","height","weight"
33712.96875,183,129.3
84054.75,188,113.4
84054.75,178,86.2
44152.16015625,188,81.6
38925.3359375,188,158.8
38925.3359375,178,81.6
84054.75,178,76.2
33712.96875,183,90.7
38925.3359375,183,83.9
84054.75,173,83.9
23362.873046875,180,83.9
84054.75,183,74.8
20305.509765625,175,74.8
84054.75,173,81.6
84054.75,175,78
84054.75,180,81.6
84054.75,183,102.1
44152.16015625,178,99.8
49430.109375,170,78
28560.38671875,178,68
10865.4287109375,173,77.1
28560.38671875,183,103.4
84054.75,178,90.7
84054.75,178,86.2
44152.16015625,183,77.1
28560.38671875,183,72.6
44152.16015625,155,68
84054.75,183,111.1
5675.8955078125,175,89.8
84054.75,190,86.2
84054.75,180,88
44152.16015625,180,90.7
20305.509765625,170,63.5
84054.75,160,64
84054.75,173,62.1
38925.3359375,170,61.2
84054.75,188,97.5
28560.38671875,180,86.2
49430.109375,175,86.2
84054.75,183,127
84054.75,190,124.7
49430.109375,178,81.6
44152.16015625,178,90.7
84054.75,178,65.8
84054.75,190,99.8
84054.75,178,68
28560.38671875,175,79.4
49430.109375,175,79.4
84054.75,170,70.3
84054.75,175,77.1
20305.509765625,170,68
84054.75,168,63.5
44152.16015625,183,86.2
9857.505859375,170,65.8
20305.509765625,178,81.6
84054.75,188,86.2
44152.16015625,175,83.9
84054.75,170,86.2
84054.75,185,83.9
33712.96875,173,83.9
84054.75,188,127
84054.75,173,54.4
84054.75,178,68
44152.16015625,173,68.5
84054.75,173,68
84054.75,183,79.4
84054.75,183,90.7
49430.109375,168,72.6
84054.75,180,88
84054.75,173,77.1
84054.75,178,83.9
23362.873046875,175,83.9
84054.75,178,68
23362.873046875,170,68.9
84054.75,190,97.5
19237.1953125,188,90.7
38925.3359375,170,86.2
84054.75,173,90.7
84054.75,183,68
28560.38671875,165,63.5
49430.109375,175,81.6
84054.75,183,83.9
20305.509765625,170,74.8
38925.3359375,168,61.2
84054.75,183,95.3
28560.38671875,180,99.8
84054.75,180,84.8
33712.96875,180,90.7
84054.75,190,108.9
33712.96875,175,95.3
44152.16015625,180,77.1
84054.75,180,81.6
84054.75,173,88.5
84054.75,168,77.1
84054.75,183,81.6
84054.75,188,83.9
84054.75,175,113.4
44152.16015625,173,74.8
28560.38671875,173,65.8
84054.75,188,83.9
84054.75,183,74.8
84054.75,188,111.1
84054.75,183,104.3
23362.873046875,157,68
84054.75,175,83.9
84054.75,173,77.1
19237.1953125,180,102.1
23362.873046875,178,74.8
33712.96875,170,79.4
44152.16015625,175,92.5
84054.75,190,95.3
23362.873046875,168,81.6
84054.75,178,81.6
84054.75,180,90.7
28560.38671875,183,81.6
38925.3359375,183,89.8
84054.75,183,122.5
84054.75,173,86.2
17171.263671875,173,95.3
38925.3359375,175,70.3
84054.75,170,79.4
84054.75,180,81.6
23362.873046875,178,88.5
33712.96875,188,88.5
33712.96875,188,80.7
84054.75,183,122.5
84054.75,180,83.9
84054.75,178,83.9
84054.75,178,81.6
84054.75,175,108.9
23362.873046875,173,77.1
19237.1953125,185,86.2
84054.75,170,76.2
49430.109375,183,87.1
38925.3359375,185,83.9
49430.109375,180,76.7
5675.8955078125,170,68
84054.75,175,68.9
28560.38671875,185,83.9
28560.38671875,175,68
84054.75,185,87.5
84054.75,185,99.8
20305.509765625,180,81.6
84054.75,198,81.6
84054.75,180,86.2
84054.75,173,108.9
33712.96875,185,79.4
84054.75,178,77.1
11953.455078125,180,63.5
84054.75,183,86.2
84054.75,173,79.4
84054.75,180,95.3
84054.75,183,81.6
84054.75,183,81.6
84054.75,178,79.4
33712.96875,178,69.9
44152.16015625,180,101.6
84054.75,175,63.5
84054.75,188,99.8
49430.109375,183,111.1
84054.75,170,74.8
44152.16015625,180,99.8
84054.75,188,108.9
84054.75,183,88
44152.16015625,180,83.9
84054.75,178,72.6
10865.4287109375,180,113.4
33712.96875,180,88.5
44152.16015625,180,74.8
84054.75,188,93
84054.75,183,90.7
49430.109375,160,59
84054.75,178,99.8
84054.75,190,81.6
84054.75,178,75.7
84054.75,183,74.8
84054.75,183,99.8
19237.1953125,173,67.1
33712.96875,193,81.6
23362.873046875,170,73.5
38925.3359375,190,83.9
33712.96875,183,79.4
84054.75,173,83.9
84054.75,180,81.6
49430.109375,173,104.3
6711.28759765625,165,73.5
23362.873046875,180,79.4
84054.75,183,90.7
33712.96875,173,71.7
84054.75,180,81.6
33712.96875,175,72.6
28560.38671875,185,83.9
38925.3359375,180,76.2
44152.16015625,173,65.8
84054.75,185,108.9
84054.75,175,76.2
84054.75,180,102.1
49430.109375,173,81.6
38925.3359375,178,81.6
33712.96875,183,79.4
84054.75,173,67.6
49430.109375,183,81.6
38925.3359375,180,79.4
33712.96875,165,73.9
84054.75,188,88.5
49430.109375,185,93.4
28560.38671875,185,88.5
84054.75,188,104.3
84054.75,170,65.8
44152.16015625,190,106.6
23362.873046875,173,86.2
5675.8955078125,170,57.6
38925.3359375,168,61.2
84054.75,170,86.2
84054.75,168,81.6
84054.75,175,99.3
84054.75,185,81.6
84054.75,190,97.5
84054.75,183,90.7
84054.75,175,81.6
28560.38671875,188,88.5
33712.96875,170,94.8
84054.75,165,86.2
84054.75,165,68
84054.75,178,72.6
84054.75,168,63.5
84054.75,180,70.3
33712.96875,168,89.8
84054.75,175,93
33712.96875,183,81.6
33712.96875,170,58.1
12954.765625,175,158.8
84054.75,173,74.8
84054.75,183,109.8
84054.75,185,79.4
49430.109375,173,70.3
33712.96875,183,95.3
33712.96875,185,95.3
33712.96875,178,74.8
84054.75,173,90.7
49430.109375,165,95.3
84054.75,185,86.2
84054.75,173,72.6
84054.75,173,77.1
33712.96875,175,69.4
84054.75,183,83.9
84054.75,178,79.4
84054.75,173,83.9
49430.109375,180,78
84054.75,180,90.7
23362.873046875,173,83.9
84054.75,173,77.1
84054.75,183,102.1
84054.75,178,227.2
84054.75,175,99.8
28560.38671875,173,76.7
84054.75,188,90.7
44152.16015625,183,70.3
84054.75,178,74.8
49430.109375,183,86.2
84054.75,180,77.1
84054.75,185,90.7
84054.75,180,88.5
84054.75,185,77.1
84054.75,178,77.1
49430.109375,170,81.6
84054.75,178,83.5
84054.75,170,70.3
84054.75,178,72.6
33712.96875,180,83.9
38925.3359375,178,90.7
84054.75,180,99.8
84054.75,178,74.8
18168.841796875,180,63.5
38925.3359375,188,83.9
84054.75,188,111.1
33712.96875,175,81.6
84054.75,180,86.2
33712.96875,180,86.2
33712.96875,193,93
44152.16015625,188,86.2
84054.75,173,88.9
84054.75,178,104.3
49430.109375,180,99.8
28560.38671875,170,68
84054.75,183,76.2
84054.75,178,95.3
84054.75,188,99.8
44152.16015625,183,79.4
84054.75,183,99.8
38925.3359375,185,83.9
84054.75,170,77.1
33712.96875,173,88.5
49430.109375,188,97.5
38925.3359375,170,99.8
84054.75,185,80.3
84054.75,175,90.7
49430.109375,183,77.1
84054.75,183,63.5
49430.109375,183,74.8
38925.3359375,178,90.7
16081.587890625,178,73.5
28560.38671875,178,88.9
33712.96875,175,81.6
84054.75,201,93
84054.75,183,81.6
44152.16015625,185,83.9
84054.75,170,75.7
84054.75,165,84.8
84054.75,173,79.4
84054.75,185,90.7
49430.109375,180,72.6
84054.75,178,95.3
44152.16015625,178,68
38925.3359375,183,83
18168.841796875,190,104.3
23362.873046875,173,81.2
14021.39453125,185,83.9
49430.109375,180,72.6
84054.75,185,81.6
23362.873046875,180,79.4
84054.75,185,90.7
84054.75,183,72.6
49430.109375,175,79.4
38925.3359375,178,86.2
49430.109375,165,63.5
84054.75,175,74.8
38925.3359375,183,93
84054.75,170,77.1
28560.38671875,190,113.4
84054.75,198,104.3
38925.3359375,183,77.1
84054.75,180,99.8
38925.3359375,190,72.6
9857.505859375,170,83.5
49430.109375,193,90.7
44152.16015625,175,86.2
38925.3359375,185,104.3
23362.873046875,168,227.2
84054.75,170,72.6
28560.38671875,183,102.1
84054.75,163,68
84054.75,178,74.8
38925.3359375,175,83.9
17171.263671875,183,64.9
84054.75,185,99.8
84054.75,178,104.3
84054.75,175,79.4
38925.3359375,160,77.1
84054.75,180,90.7
38925.3359375,178,138.3
84054.75,178,81.6
33712.96875,170,68
38925.3359375,185,129.3
84054.75,180,83.9
23362.873046875,175,86.2
19237.1953125,175,79.4
33712.96875,185,81.6
12954.765625,183,83.9
28560.38671875,178,77.1
84054.75,178,96.6
84054.75,183,99.8
33712.96875,193,96.2
84054.75,163,61.2
84054.75,196,149.7
84054.75,185,108.9
23362.873046875,175,81.6
84054.75,178,74.8
84054.75,188,102.1
16081.587890625,163,63.5
28560.38671875,185,81.6
84054.75,178,81.2
19237.1953125,170,81.6
49430.109375,173,72.6
38925.3359375,173,77.1
33712.96875,180,74.8
14021.39453125,168,59
44152.16015625,178,83.9
84054.75,185,104.3
23362.873046875,188,113.4
33712.96875,183,97.5
84054.75,183,97.5
28560.38671875,178,74.8
84054.75,185,85.3
84054.75,170,79.4
23362.873046875,178,68
12954.765625,180,95.3
44152.16015625,190,90.7
84054.75,193,81.6
84054.75,185,96.2
84054.75,173,72.6
33712.96875,173,68
38925.3359375,185,83.9
44152.16015625,178,81.6
44152.16015625,180,86.2
84054.75,193,104.3
33712.96875,196,95.3
84054.75,180,74.8
44152.16015625,178,68
49430.109375,173,88.5
84054.75,183,95.3
23362.873046875,170,72.6
84054.75,185,113.4
84054.75,175,78.9
84054.75,168,63.5
84054.75,178,65.8
33712.96875,180,90.7
84054.75,188,101.6
84054.75,170,74.8
44152.16015625,185,86.2
84054.75,165,59
84054.75,180,81.6
84054.75,185,90.7
84054.75,170,145.1
28560.38671875,190,99.8
84054.75,178,81.6
38925.3359375,183,86.2
44152.16015625,175,94.3
12954.765625,173,68
84054.75,180,77.1
84054.75,175,81.6
49430.109375,170,74.8
84054.75,178,86.2
84054.75,183,81.6
84054.75,173,97.5
84054.75,188,108.9
28560.38671875,183,81.6
44152.16015625,178,99.8
49430.109375,188,70.3
38925.3359375,185,90.7
84054.75,183,95.3
84054.75,175,79.4
38925.3359375,178,74.8
84054.75,168,65.8
33712.96875,163,54.4
84054.75,185,99.8
33712.96875,190,86.2
84054.75,190,83.5
84054.75,173,81.6
84054.75,170,82.6
84054.75,178,88.5
84054.75,178,81.6
84054.75,178,86.2
17171.263671875,178,83.9
23362.873046875,178,93
49430.109375,180,105.2
84054.75,178,99.8
49430.109375,180,79.4
33712.96875,175,106.6
84054.75,175,85.3
84054.75,183,72.6
49430.109375,180,122.5
84054.75,173,79.4
38925.3359375,168,72.6
23362.873046875,183,86.2
84054.75,175,104.3
84054.75,178,90.7
38925.3359375,183,89.8
28560.38671875,173,87.1
84054.75,168,59
23362.873046875,183,103.4
84054.75,183,79.4
28560.38671875,188,105.2
84054.75,183,86.2
84054.75,185,83.9
44152.16015625,173,86.2
33712.96875,173,71.7
84054.75,178,95.3
17171.263671875,173,90.7
84054.75,178,93
84054.75,178,70.3
84054.75,180,74.8
38925.3359375,178,74.8
84054.75,183,95.3
33712.96875,180,68
84054.75,163,68
84054.75,183,74.8
84054.75,178,80.7
28560.38671875,168,72.6
84054.75,175,72.6
28560.38671875,185,86.2
23362.873046875,178,73.9
49430.109375,190,88.5
84054.75,178,83.9
38925.3359375,168,65.8
84054.75,175,97.5
12954.765625,173,227.2
84054.75,188,96.6
33712.96875,175,99.8
84054.75,183,90.7
44152.16015625,180,104.3
84054.75,173,95.3
49430.109375,180,88.5
84054.75,152,86.2
84054.75,175,83.9
84054.75,183,90.7
23362.873046875,178,86.2
84054.75,178,86.2
49430.109375,170,70.3
84054.75,183,90.7
84054.75,175,74.8
84054.75,178,91.2
84054.75,165,92.5
84054.75,180,81.6
33712.96875,180,70.3
38925.3359375,175,70.3
84054.75,173,74.8
84054.75,175,87.5
33712.96875,188,95.3
84054.75,173,77.1
38925.3359375,185,73.5
84054.75,178,83.9
38925.3359375,175,97.5
38925.3359375,173,104.3
33712.96875,183,86.2
84054.75,173,91.6
49430.109375,170,68
33712.96875,173,95.3
33712.96875,175,78.9
84054.75,188,95.3
49430.109375,173,77.1
33712.96875,175,77.1
84054.75,196,108.9
84054.75,193,90.7
84054.75,178,73.5
84054.75,175,79.4
84054.75,183,108.9
44152.16015625,175,81.6
84054.75,183,79.4
84054.75,178,83.9
84054.75,175,106.6
28560.38671875,178,82.1
84054.75,173,77.1
84054.75,173,81.6
33712.96875,180,102.1
84054.75,178,68
84054.75,183,72.6
84054.75,173,70.3
84054.75,183,90.7
19237.1953125,178,74.8
38925.3359375,188,84.4
84054.75,183,95.3
84054.75,183,77.1
84054.75,183,102.1
84054.75,178,77.1
84054.75,180,72.6
84054.75,173,81.6
84054.75,188,102.1
84054.75,170,80.7
84054.75,183,74.8
84054.75,180,102.1
84054.75,183,88.5
33712.96875,185,88.5
84054.75,185,86.6
44152.16015625,183,93.4
33712.96875,183,103.9
84054.75,183,77.1
84054.75,183,83.9
33712.96875,178,76.2
84054.75,190,81.6
33712.96875,178,79.4
84054.75,188,95.3
49430.109375,178,113.4
84054.75,178,70.3
38925.3359375,183,79.4
84054.75,173,79.4
84054.75,175,85.3
84054.75,183,83.9
49430.109375,185,86.2
84054.75,193,99.8
84054.75,183,74.8
84054.75,190,121.6
49430.109375,185,93
38925.3359375,178,72.6
33712.96875,175,95.3
44152.16015625,198,108.9
84054.75,201,90.7
84054.75,173,97.5
84054.75,190,95.3
84054.75,175,81.6
84054.75,185,83.9
20305.509765625,178,99.3
84054.75,178,72.6
84054.75,173,63.5
33712.96875,163,70.3
44152.16015625,180,65.8
44152.16015625,190,104.3
19237.1953125,163,59
84054.75,173,95.3
33712.96875,183,83.9
38925.3359375,183,115.7
84054.75,183,86.2
84054.75,185,81.6
33712.96875,193,95.3
84054.75,170,70.3
49430.109375,178,70.3
33712.96875,183,90.7
84054.75,190,97.5
84054.75,175,71.7
84054.75,185,86.2
84054.75,188,102.1
20305.509765625,173,79.4
84054.75,178,79.4
84054.75,168,90.7
38925.3359375,173,81.6
84054.75,173,96.2
84054.75,168,79.4
33712.96875,183,83.9
38925.3359375,170,63.5
28560.38671875,188,88.5
38925.3359375,183,83.9
84054.75,183,104.3
38925.3359375,175,59
84054.75,178,86.2
84054.75,180,83.9
84054.75,180,92.5
84054.75,183,86.2
84054.75,178,83.9
38925.3359375,188,88.5
84054.75,185,106.6
84054.75,185,82.6
44152.16015625,185,81.6
84054.75,183,90.7
84054.75,178,90.7
84054.75,168,70.3
84054.75,190,97.5
84054.75,185,122.5
84054.75,188,81.6
33712.96875,180,99.8
84054.75,178,122.5
84054.75,173,81.6
10865.4287109375,178,65.8
84054.75,173,74.8
33712.96875,173,106.6
84054.75,173,63.5
49430.109375,185,77.1
84054.75,168,79.4
44152.16015625,180,94.8
84054.75,170,72.1
84054.75,180,86.2
84054.75,183,108.9
84054.75,188,108.9
17171.263671875,165,68
44152.16015625,180,90.7
84054.75,178,77.1
38925.3359375,175,72.6
38925.3359375,183,81.6
84054.75,175,99.8
84054.75,168,79.8
84054.75,178,93
23362.873046875,173,77.1
84054.75,188,95.3
33712.96875,196,76.2
49430.109375,173,85.7
33712.96875,175,99.8
28560.38671875,178,77.1
84054.75,180,83.9
84054.75,185,99.8
33712.96875,175,90.7
84054.75,180,86.2
49430.109375,178,87.1
84054.75,180,90.7
84054.75,185,95.3
84054.75,178,73.9
84054.75,178,68
84054.75,193,99.8
84054.75,175,99.8
84054.75,170,59
49430.109375,178,90.7
84054.75,180,74.8
84054.75,190,90.7
84054.75,178,104.3
84054.75,175,102.1
49430.109375,180,72.6
14021.39453125,185,138.3
20305.509765625,173,106.1
33712.96875,188,90.7
33712.96875,190,90.7
84054.75,188,81.6
44152.16015625,178,86.2
84054.75,183,108.9
28560.38671875,193,113.4
9857.505859375,180,68.9
4726.39111328125,180,75.7
44152.16015625,165,59.4
84054.75,173,70.3
84054.75,183,64.4
84054.75,178,99.8
49430.109375,175,70.3
33712.96875,188,108.9
84054.75,183,77.1
49430.109375,178,74.4
84054.75,160,59
84054.75,188,83.9
17171.263671875,180,131.5
49430.109375,173,124.7
84054.75,163,59.9
84054.75,183,134.3
84054.75,188,78
84054.75,178,79.8
28560.38671875,180,72.6
49430.109375,185,74.8
49430.109375,170,99.8
44152.16015625,180,73
44152.16015625,170,62.6
44152.16015625,170,117
84054.75,178,81.6
84054.75,178,81.6
49430.109375,185,102.1
84054.75,178,70.3
84054.75,188,117.9
33712.96875,168,86.2
84054.75,175,86.2
84054.75,193,102.1
84054.75,175,81.6
84054.75,180,102.1
84054.75,180,90.7
84054.75,178,90.7
33712.96875,173,77.1
84054.75,180,85.3
84054.75,180,93
84054.75,196,106.6
33712.96875,178,77.1
38925.3359375,188,79.4
84054.75,175,79.4
28560.38671875,183,85.3
84054.75,173,109.3
84054.75,175,63.5
23362.873046875,188,90.7
84054.75,185,140.6
84054.75,180,72.6
84054.75,173,70.3
84054.75,183,88.5
84054.75,173,65.8
33712.96875,157,113.4
33712.96875,178,72.6
28560.38671875,188,93.9
84054.75,178,72.6
84054.75,188,117.9
44152.16015625,198,90.7
84054.75,188,88.5
33712.96875,185,95.3
33712.96875,175,99.8
84054.75,178,70.3
23362.873046875,178,73.9
84054.75,180,79.4
84054.75,170,74.8
84054.75,180,90.7
84054.75,183,81.6
38925.3359375,183,68
84054.75,173,81.6
84054.75,170,83.9
84054.75,183,83.9
84054.75,183,79.4
84054.75,188,115.7
28560.38671875,190,93
84054.75,178,72.6
84054.75,175,74.8
84054.75,180,76.2
84054.75,168,73.9
84054.75,183,95.3
18168.841796875,183,113.4
33712.96875,168,68
44152.16015625,173,72.6
8826.6513671875,168,65.8
49430.109375,183,88.5
84054.75,185,65.8
84054.75,180,78
23362.873046875,180,93
49430.109375,178,81.6
84054.75,188,95.3
84054.75,183,79.4
84054.75,185,84.4
84054.75,190,90.7
84054.75,185,79.4
84054.75,170,65.8
84054.75,188,104.3
84054.75,185,93
84054.75,168,67.1
84054.75,173,99.8
44152.16015625,175,86.2
84054.75,175,83.9
84054.75,183,86.2
49430.109375,170,74.8
84054.75,175,88.5
84054.75,188,104.3
9857.505859375,180,86.2
84054.75,190,95.3
84054.75,183,103.4
44152.16015625,173,79.4
84054.75,188,108.9
9857.505859375,173,79.4
84054.75,178,68
38925.3359375,180,93
28560.38671875,178,86.2
84054.75,183,108.9
84054.75,175,77.1
23362.873046875,175,77.1
84054.75,180,93
84054.75,178,108.9
84054.75,180,93
84054.75,178,136.1
19237.1953125,173,70.3
84054.75,185,86.2
84054.75,170,64.9
84054.75,173,77.1
84054.75,183,72.6
84054.75,170,72.1
28560.38671875,168,68
84054.75,180,71.2
28560.38671875,178,83.9
44152.16015625,175,68
84054.75,160,60.8
28560.38671875,178,63.5
44152.16015625,175,86.2
84054.75,185,79.4
84054.75,185,95.3
84054.75,170,72.6
84054.75,178,102.1
84054.75,180,95.3
84054.75,188,95.3
49430.109375,175,72.6
84054.75,178,74.8
49430.109375,180,74.8
84054.75,180,77.1
84054.75,180,86.2
84054.75,180,83.9
49430.109375,178,74.8
84054.75,178,80.3
84054.75,183,74.8
8826.6513671875,183,104.3
44152.16015625,170,68
84054.75,185,99.8
44152.16015625,183,81.6
49430.109375,185,86.2
84054.75,183,122.5
23362.873046875,173,83.9
38925.3359375,178,79.4
38925.3359375,165,63.5
84054.75,183,77.1
84054.75,183,90.7
84054.75,178,72.6
49430.109375,188,99.8
28560.38671875,178,75.3
84054.75,183,88
23362.873046875,168,63.5
84054.75,180,77.1
84054.75,168,79.4
28560.38671875,180,83.9
44152.16015625,190,104.3
84054.75,193,80.7
84054.75,180,81.2
33712.96875,165,63.5
84054.75,178,79.4
84054.75,190,106.6
28560.38671875,175,83.9
49430.109375,183,88.5
38925.3359375,170,71.7
84054.75,178,73.5
84054.75,173,74.8
23362.873046875,165,63.5
49430.109375,183,108.9
84054.75,180,99.8
84054.75,190,83.9
44152.16015625,185,81.6
84054.75,178,86.2
84054.75,193,100.2
38925.3359375,183,86.2
84054.75,160,72.6
84054.75,168,72.6
19237.1953125,165,74.8
28560.38671875,168,59
44152.16015625,175,72.6
84054.75,185,78
15081.9755859375,188,90.7
84054.75,185,70.3
84054.75,183,106.6
84054.75,170,63.5
84054.75,193,95.7
84054.75,173,68
84054.75,173,77.1
84054.75,173,81.6
84054.75,180,104.3
84054.75,180,77.1
33712.96875,183,114.3
84054.75,165,79.4
84054.75,183,74.8
84054.75,173,68
84054.75,173,78
84054.75,170,68
38925.3359375,180,83.9
38925.3359375,178,81.6
84054.75,168,70.3
38925.3359375,175,90.7
84054.75,183,106.6
44152.16015625,168,65.8
38925.3359375,183,82.1
84054.75,185,83.9
84054.75,178,90.7
49430.109375,168,65.8
84054.75,165,81.6
84054.75,183,73.5
84054.75,185,77.1
38925.3359375,168,61.2
18168.841796875,196,172.4
84054.75,173,72.6
23362.873046875,175,97.5
84054.75,213,90.3
84054.75,180,81.6
19237.1953125,183,95.3
28560.38671875,168,63.5
10865.4287109375,170,72.6
84054.75,173,93
33712.96875,185,86.2
84054.75,178,86.2
28560.38671875,188,83.9
16081.587890625,183,131.5
84054.75,180,78
84054.75,183,77.1
49430.109375,175,72.6
28560.38671875,178,68
49430.109375,173,68
17171.263671875,183,88.5
84054.75,175,95.3
38925.3359375,175,63.5
84054.75,183,83.9
84054.75,183,84.8
84054.75,185,87.5
28560.38671875,180,89.8
44152.16015625,178,113.4
44152.16015625,163,56.7
84054.75,185,83.9
38925.3359375,175,85.3
49430.109375,178,92.1
14021.39453125,185,78
28560.38671875,190,113.4
84054.75,175,95.3
84054.75,190,136.1
33712.96875,170,65.8
84054.75,180,77.1
84054.75,175,76.2
44152.16015625,178,88.5
38925.3359375,183,83.5
20305.509765625,178,63.5
38925.3359375,173,72.6
84054.75,173,72.6
84054.75,175,81.6
84054.75,173,86.2
17171.263671875,170,108.9
84054.75,185,93
84054.75,183,80.7
84054.75,170,76.2
84054.75,178,90.7
8826.6513671875,185,114.8
84054.75,170,88.5
49430.109375,178,77.1
84054.75,190,104.3
84054.75,190,90.7
84054.75,175,83.9
33712.96875,190,81.6
33712.96875,160,63.5
84054.75,170,72.1
84054.75,180,86.2
84054.75,170,77.1
33712.96875,178,102.1
33712.96875,173,88.5
84054.75,175,68
84054.75,183,76.7
84054.75,183,93
28560.38671875,183,88.5
84054.75,185,64.9
84054.75,170,65.8
38925.3359375,173,81.6
84054.75,183,72.6
84054.75,168,77.1
84054.75,175,72.6
28560.38671875,178,79.4
84054.75,175,72.6
44152.16015625,175,68.9
28560.38671875,173,79.4
84054.75,180,86.2
84054.75,170,136.1
84054.75,185,86.2
19237.1953125,173,88.5
84054.75,178,90.7
16081.587890625,178,63.5
84054.75,193,106.6
28560.38671875,188,99.8
84054.75,175,77.1
44152.16015625,173,62.6
38925.3359375,183,113.4
28560.38671875,178,72.6
19237.1953125,183,88.5
44152.16015625,183,81.6
84054.75,173,87.1
84054.75,175,79.4
33712.96875,193,99.8
84054.75,175,82.6
44152.16015625,175,86.2
38925.3359375,183,87.5
84054.75,173,72.1
84054.75,183,95.3
44152.16015625,183,86.2
23362.873046875,175,59
49430.109375,185,102.5
84054.75,175,83.9
84054.75,170,61.2
8826.6513671875,183,90.7
84054.75,170,74.8
10865.4287109375,170,59
84054.75,183,90.7
84054.75,180,99.8
28560.38671875,185,170.1
33712.96875,173,84.4
84054.75,185,90.7
84054.75,170,73.9
84054.75,183,79.4
84054.75,175,77.1
84054.75,163,59
84054.75,188,83.9
23362.873046875,175,91.2
44152.16015625,175,77.1
18168.841796875,185,83.9
84054.75,183,83.9
38925.3359375,183,88.5
44152.16015625,175,104.3
28560.38671875,170,70.3
49430.109375,170,74.8
49430.109375,190,74.8
38925.3359375,175,108.9
84054.75,165,72.6
84054.75,178,70.3
84054.75,163,59
23362.873046875,170,67.1
84054.75,196,111.1
28560.38671875,180,71.7
28560.38671875,165,65.8
84054.75,183,88.5
84054.75,188,86.2
84054.75,178,86.6
84054.75,180,68
84054.75,175,73.5
44152.16015625,170,77.1
84054.75,185,99.8
44152.16015625,188,79.4
84054.75,168,65.8
38925.3359375,188,79.4
28560.38671875,178,88.5
33712.96875,183,77.1
84054.75,173,90.7
84054.75,173,81.6
28560.38671875,185,90.7
84054.75,211,120.2
49430.109375,183,90.7
49430.109375,178,70.3
38925.3359375,185,95.3
84054.75,180,83.9
84054.75,175,72.6
84054.75,180,79.4
84054.75,183,102.1
84054.75,170,77.1
49430.109375,183,86.2
84054.75,175,106.6
84054.75,165,68
84054.75,183,81.6
84054.75,178,68
84054.75,170,69.9
84054.75,190,68
84054.75,185,104.3
84054.75,188,64.9
84054.75,183,90.7
23362.873046875,175,90.7
23362.873046875,185,83.9
84054.75,185,87.1
84054.75,180,77.1
84054.75,180,95.3
84054.75,170,98.4
84054.75,183,83.9
44152.16015625,175,70.3
84054.75,185,72.6
33712.96875,178,81.6
49430.109375,183,90.7
84054.75,188,98.9
84054.75,178,70.3
84054.75,180,95.3
84054.75,178,73.9
84054.75,173,86.2
84054.75,188,83.5
84054.75,170,104.3
84054.75,175,80.7
84054.75,185,147.4
44152.16015625,190,86.2
38925.3359375,193,86.2
84054.75,168,74.4
84054.75,180,77.1
84054.75,170,72.6
49430.109375,178,70.3
84054.75,185,95.3
84054.75,178,72.6
84054.75,175,79.4
33712.96875,178,99.8
23362.873046875,173,65.8
28560.38671875,188,74.8
84054.75,178,78
84054.75,175,95.3
17171.263671875,190,79.4
28560.38671875,175,81.6
84054.75,173,90.7
